n,metric,lower,upper
20,comp,0.4105263157894737,0.5736842105263158
20,height_ratio,0.25,0.35
20,width_ratio,0.2,0.3
30,comp,0.4482758620689655,0.5542528735632184
30,height_ratio,0.23333333333333334,0.3
30,width_ratio,0.16666666666666666,0.26666666666666666
