variant,n,gamma,family,mean_score,std_score,mean_log_H,mean_penalty,count
drop_geo_width_height,20,0.8,lorentzian_like_2d,-23.223901439543816,,23.380651766837136,0.1959379091166515,1
drop_geo_width_height,20,0.8,KR_like,-21.374686924637324,,27.36602426803175,7.489171679243032,1
drop_width_height_plus_dim,20,0.0,KR_like,-27.36602426803175,,27.36602426803175,2.0249800612928976,1
drop_width_height_plus_dim,20,0.0,lorentzian_like_2d,-23.380651766837136,,23.380651766837136,0.18499836872883962,1
drop_width_height_plus_dim,20,0.4,KR_like,-26.556032243514593,,27.36602426803175,2.0249800612928976,1
drop_width_height_plus_dim,20,0.4,lorentzian_like_2d,-23.3066524193456,,23.380651766837136,0.18499836872883962,1
drop_width_height_plus_dim,20,0.8,KR_like,-25.746040218997432,,27.36602426803175,2.0249800612928976,1
drop_width_height_plus_dim,20,0.8,lorentzian_like_2d,-23.232653071854063,,23.380651766837136,0.18499836872883962,1
interval_terms_only,20,0.0,KR_like,-27.36602426803175,,27.36602426803175,1.957161501736111,1
interval_terms_only,20,0.0,lorentzian_like_2d,-23.380651766837136,,23.380651766837136,0.07201111111111111,1
interval_terms_only,20,0.4,KR_like,-26.583159667337306,,27.36602426803175,1.957161501736111,1
interval_terms_only,20,0.4,lorentzian_like_2d,-23.351847322392693,,23.380651766837136,0.07201111111111111,1
interval_terms_only,20,0.8,KR_like,-25.80029506664286,,27.36602426803175,1.957161501736111,1
interval_terms_only,20,0.8,lorentzian_like_2d,-23.323042877948247,,23.380651766837136,0.07201111111111111,1
non_dim_non_width_only,20,0.0,KR_like,-27.36602426803175,,27.36602426803175,2.0249800612928976,1
non_dim_non_width_only,20,0.0,lorentzian_like_2d,-23.380651766837136,,23.380651766837136,0.18499836872883962,1
non_dim_non_width_only,20,0.4,KR_like,-26.556032243514593,,27.36602426803175,2.0249800612928976,1
non_dim_non_width_only,20,0.4,lorentzian_like_2d,-23.3066524193456,,23.380651766837136,0.18499836872883962,1
non_dim_non_width_only,20,0.8,KR_like,-25.746040218997432,,27.36602426803175,2.0249800612928976,1
non_dim_non_width_only,20,0.8,lorentzian_like_2d,-23.232653071854063,,23.380651766837136,0.18499836872883962,1
