n,n_samples,r_within_N,R2_within_N,var_layer_count,var_log_H
20,1236,-0.32505512533848735,0.10566083450881972,0.3629731535710074,1.4541720242474474
24,1236,-0.6290512823180395,0.39570551578596985,0.4646882329048911,3.298387778601394
28,1236,-0.8476445744178374,0.7185013245399966,0.751039660390708,1.943386959481123
32,1236,-0.6719190434109703,0.4514752008983134,0.9065917220235054,1.1925581409518085
36,2406,-0.6771874081241385,0.4585827857218885,0.4560022328102128,3.6183410639306053
40,1902,-0.0024603623062975765,6.053382678249929e-06,0.45390023845991734,1.1536648199522725
44,2310,-0.47907135764560294,0.2295093657164012,0.22323038589820746,0.46882397094014383
48,996,-0.95686053761898,0.9155820884524836,2.067397227099352,7.43181364260117
52,948,-0.9566329739698072,0.9151466468863177,0.24829909240372672,0.9396137555497793
56,84,-0.054717124472162246,0.0029939637105020965,0.6957831325301205,1.3198642540619376
60,84,-0.9282109749977157,0.8615756141062099,0.1897590361445783,3.692859555860083
64,336,0.11973481168748393,0.014336425129837238,0.8423507462686567,2.851867331140417
68,336,-0.3966733378586258,0.1573497369679035,0.7169776119402985,6.9276620721487765
72,336,-0.45014144413247037,0.20262731972566594,0.5289179104477612,3.586063507989233
