feature,type,var_delta_matched,var_delta_random,compression_ratio
antichain_width,matching,2.2873469387755105,3.118224,0.7335415732723212
comparable_fraction,matching,0.0007755318086081286,0.001702465591423283,0.4555344980333929
geo_dim_eff,matching,0.027919145109892664,0.0612887612912382,0.4555344980333934
geo_interval_shape,matching,0.00023607774629458693,0.003745473187286086,0.06303015253077952
layer_count,depth,1.8061224489795917,1.259344,1.4341771977947182
mean_layer_gap,depth,0.2889100017218488,0.15304078230185156,1.88779747055928
