n_match_vars,match_vars,n_pairs,r_layer_count,p_layer_count,r_mean_layer_gap,p_mean_layer_gap
0,[],840,-0.5938063763343902,3.509689691051656e-81,-0.6347819674934312,6.107318741802843e-96
1,['antichain_width'],840,-0.5021992452083762,7.127012355546182e-55,-0.6294983114284878,6.517639415511603e-94
2,"['antichain_width', 'comparable_fraction']",840,-0.6410421739827598,2.1425528385204737e-98,-0.7313055341514334,2.058889082182909e-141
3,"['antichain_width', 'comparable_fraction', 'geo_dim_eff']",840,-0.5355967806668573,1.546380365325857e-63,-0.6489674363513157,1.3793743240100438e-101
4,"['antichain_width', 'comparable_fraction', 'geo_dim_eff', 'geo_interval_shape']",840,-0.5053828240903366,1.1693390750744743e-55,-0.6367561994694388,1.0418484690651092e-96
