variable,r_point,ci_lo_95,ci_hi_95,ci_width,sd_boot
layer_count,-0.8268274224173716,-0.9100382875816789,-0.7079659099358784,0.20207237764580055,0.05209543731978672
mean_layer_gap,-0.8175405913889474,-0.878664122195387,-0.7353271227711942,0.14333699942419287,0.03663455440311031
hierarchy_integration_index,-0.8388805599402493,-0.907359563036208,-0.7399408543840924,0.1674187086521156,0.04354350485873023
