n,family,mean_score_A2,mean_log_H,mean_geo_total,mean_geo_interval_shape,mean_geo_interval_profile,mean_geo_dim_proxy,mean_cg_penalty,mean_cg_self_drift,mean_cg_switch_rate,mean_width,mean_comp,count
48,multi_layer_random,-81.07150696721997,82.42914090109,1.6444681089185935,0.0067539759772711275,0.0,0.033482600470801316,1.492010423712475,0.005451042371247515,0.9583333333333334,11.0,0.5035460992907801,4
48,lorentzian_like_2d,-68.55438376368969,69.12302171518706,0.6566790865990504,0.003605155172413794,0.0,0.02347397665912176,0.055539202840204575,0.005553920284020458,0.0,8.75,0.5252659574468085,4
