n,family,sample_id,gamma,beta,action_mode,log_H_mean,log_H_std,entropy_method,penalty_neutral,penalty_geometric,penalty_info,penalty_effective,score,score_per_node,score_per_nlogn,log_H_norm,penalty_norm,log_H_norm_scale,penalty_norm_scale,score_norm,score_norm_std_est,normalization_method,normalization_group
60,absolute_layered,0,0.0,1.0,A4,135.36185960121563,0.0,sis,0.2963638117283951,12.734638181083058,4.566393491002171,4.566393491002171,-135.36185960121563,-2.2560309933535936,-0.5510115133371166,0.8931297414966036,5.886523338435992,19.775841583971726,0.46406449116154075,-0.8931297414966036,0.0,robust_zscore,n
60,absolute_layered,0,0.2,1.0,A4,135.36185960121563,0.0,sis,0.2963638117283951,12.734638181083058,4.566393491002171,4.566393491002171,-134.4485809030152,-2.24080968171692,-0.5472938702796372,0.8931297414966036,5.886523338435992,19.775841583971726,0.46406449116154075,0.2841749261905947,0.0,robust_zscore,n
60,absolute_layered,0,0.5,1.0,A4,135.36185960121563,0.0,sis,0.2963638117283951,12.734638181083058,4.566393491002171,4.566393491002171,-133.07866285571455,-2.217977714261909,-0.5417174056934179,0.8931297414966036,5.886523338435992,19.775841583971726,0.46406449116154075,2.050131927721392,0.0,robust_zscore,n
60,absolute_layered,0,1.0,1.0,A4,135.36185960121563,0.0,sis,0.2963638117283951,12.734638181083058,4.566393491002171,4.566393491002171,-130.79546611021345,-2.179924435170224,-0.5324232980497191,0.8931297414966036,5.886523338435992,19.775841583971726,0.46406449116154075,4.993393596939388,0.0,robust_zscore,n
60,absolute_layered,1,0.0,1.0,A4,135.83728329793072,0.0,sis,0.3486860339506173,14.790076947869135,4.1932554132019835,4.1932554132019835,-135.83728329793072,-2.263954721632179,-0.5529467994758789,0.9171703718129602,5.082458203294466,19.775841583971726,0.46406449116154075,-0.9171703718129602,0.0,robust_zscore,n
60,absolute_layered,1,0.2,1.0,A4,135.83728329793072,0.0,sis,0.3486860339506173,14.790076947869135,4.1932554132019835,4.1932554132019835,-134.9986322152903,-2.249977203588172,-0.5495329397404342,0.9171703718129602,5.082458203294466,19.775841583971726,0.46406449116154075,0.09932126884593284,0.0,robust_zscore,n
60,absolute_layered,1,0.5,1.0,A4,135.83728329793072,0.0,sis,0.3486860339506173,14.790076947869135,4.1932554132019835,4.1932554132019835,-133.74065559132973,-2.2290109265221623,-0.5444121501372673,0.9171703718129602,5.082458203294466,19.775841583971726,0.46406449116154075,1.6240587298342726,0.0,robust_zscore,n
60,absolute_layered,1,1.0,1.0,A4,135.83728329793072,0.0,sis,0.3486860339506173,14.790076947869135,4.1932554132019835,4.1932554132019835,-131.64402788472873,-2.1940671314121456,-0.5358775007986557,0.9171703718129602,5.082458203294466,19.775841583971726,0.46406449116154075,4.165287831481505,0.0,robust_zscore,n
60,absolute_layered,2,0.0,1.0,A4,115.70356641630839,0.0,sis,0.12168449074074075,22.83808685182855,2.0615131450726527,2.0615131450726527,-115.70356641630839,-1.9283927736051398,-0.47098937187605777,-0.10092621821740616,0.4888245408833685,19.775841583971726,0.46406449116154075,0.10092621821740616,0.0,robust_zscore,n
60,absolute_layered,2,0.2,1.0,A4,115.70356641630839,0.0,sis,0.12168449074074075,22.83808685182855,2.0615131450726527,2.0615131450726527,-115.29126378729386,-1.9215210631215642,-0.46931102986571993,-0.10092621821740616,0.4888245408833685,19.775841583971726,0.46406449116154075,0.19869112639407988,0.0,robust_zscore,n
60,absolute_layered,2,0.5,1.0,A4,115.70356641630839,0.0,sis,0.12168449074074075,22.83808685182855,2.0615131450726527,2.0615131450726527,-114.67280984377206,-1.911213497396201,-0.4667935168502132,-0.10092621821740616,0.4888245408833685,19.775841583971726,0.46406449116154075,0.34533848865909045,0.0,robust_zscore,n
60,absolute_layered,2,1.0,1.0,A4,115.70356641630839,0.0,sis,0.12168449074074075,22.83808685182855,2.0615131450726527,2.0615131450726527,-113.64205327123574,-1.8940342211872623,-0.46259766182436873,-0.10092621821740616,0.4888245408833685,19.775841583971726,0.46406449116154075,0.5897507591007747,0.0,robust_zscore,n
60,absolute_layered,3,0.0,1.0,A4,126.15736126072308,0.0,sis,0.253213811728395,17.002470403866237,3.3456530932682,3.3456530932682,-126.15736126072308,-2.102622687678718,-0.5135431705185002,0.4276881924526037,3.2559829265236484,19.775841583971726,0.46406449116154075,-0.4276881924526037,0.0,robust_zscore,n
60,absolute_layered,3,0.2,1.0,A4,126.15736126072308,0.0,sis,0.253213811728395,17.002470403866237,3.3456530932682,3.3456530932682,-125.48823064206944,-2.0914705107011575,-0.5108193702110077,0.4276881924526037,3.2559829265236484,19.775841583971726,0.46406449116154075,0.22350839285212598,0.0,robust_zscore,n
60,absolute_layered,3,0.5,1.0,A4,126.15736126072308,0.0,sis,0.253213811728395,17.002470403866237,3.3456530932682,3.3456530932682,-124.48453471408898,-2.0747422452348165,-0.506733669749769,0.4276881924526037,3.2559829265236484,19.775841583971726,0.46406449116154075,1.2003032708092205,0.0,robust_zscore,n
60,absolute_layered,3,1.0,1.0,A4,126.15736126072308,0.0,sis,0.253213811728395,17.002470403866237,3.3456530932682,3.3456530932682,-122.81170816745488,-2.046861802790915,-0.4999241689810378,0.4276881924526037,3.2559829265236484,19.775841583971726,0.46406449116154075,2.8282947340710445,0.0,robust_zscore,n
60,absolute_layered,4,0.0,1.0,A4,118.84833426902289,0.0,sis,0.15467893518518516,20.518889593787787,2.179712337248678,2.179712337248678,-118.84833426902289,-1.9808055711503814,-0.4837906387818396,0.058094465648878525,0.7435287779607974,19.775841583971726,0.46406449116154075,-0.058094465648878525,0.0,robust_zscore,n
60,absolute_layered,4,0.2,1.0,A4,118.84833426902289,0.0,sis,0.15467893518518516,20.518889593787787,2.179712337248678,2.179712337248678,-118.41239180157315,-1.9735398633595524,-0.4820160671305261,0.058094465648878525,0.7435287779607974,19.775841583971726,0.46406449116154075,0.09061128994328096,0.0,robust_zscore,n
60,absolute_layered,4,0.5,1.0,A4,118.84833426902289,0.0,sis,0.15467893518518516,20.518889593787787,2.179712337248678,2.179712337248678,-117.75847810039855,-1.962641301673309,-0.47935420965355585,0.058094465648878525,0.7435287779607974,19.775841583971726,0.46406449116154075,0.31366992333152016,0.0,robust_zscore,n
60,absolute_layered,4,1.0,1.0,A4,118.84833426902289,0.0,sis,0.15467893518518516,20.518889593787787,2.179712337248678,2.179712337248678,-116.66862193177421,-1.9444770321962368,-0.4749177805252721,0.058094465648878525,0.7435287779607974,19.775841583971726,0.46406449116154075,0.6854343123119189,0.0,robust_zscore,n
60,absolute_layered,5,0.0,1.0,A4,129.9468709278639,0.0,sis,0.2365721450617284,13.335398809631068,2.758389598741814,2.758389598741814,-129.9468709278639,-2.165781182131065,-0.5289689593089945,0.6193113732436659,1.9905047317656717,19.775841583971726,0.46406449116154075,-0.6193113732436659,0.0,robust_zscore,n
60,absolute_layered,5,0.2,1.0,A4,129.9468709278639,0.0,sis,0.2365721450617284,13.335398809631068,2.758389598741814,2.758389598741814,-129.39519300811554,-2.156586550135259,-0.5267232684893591,0.6193113732436659,1.9905047317656717,19.775841583971726,0.46406449116154075,-0.22121042689053155,0.0,robust_zscore,n
60,absolute_layered,5,0.5,1.0,A4,129.9468709278639,0.0,sis,0.2365721450617284,13.335398809631068,2.758389598741814,2.758389598741814,-128.567676128493,-2.14279460214155,-0.5233547322599061,0.6193113732436659,1.9905047317656717,19.775841583971726,0.46406449116154075,0.3759409926391699,0.0,robust_zscore,n
60,absolute_layered,5,1.0,1.0,A4,129.9468709278639,0.0,sis,0.2365721450617284,13.335398809631068,2.758389598741814,2.758389598741814,-127.18848132912208,-2.119808022152035,-0.5177405052108177,0.6193113732436659,1.9905047317656717,19.775841583971726,0.46406449116154075,1.3711933585220057,0.0,robust_zscore,n
60,absolute_layered,6,0.0,1.0,A4,128.44114322675404,2.842170943040401e-14,sis,0.2529456018518519,14.453840907611946,3.030238958741663,3.030238958741663,-128.44114322675404,-2.1406857204459007,-0.5228396603934327,0.5431716198624368,2.576305552939077,19.775841583971726,0.46406449116154075,-0.5431716198624368,1.4371934215654183e-15,robust_zscore,n
60,absolute_layered,6,0.2,1.0,A4,128.44114322675404,2.842170943040401e-14,sis,0.2529456018518519,14.453840907611946,3.030238958741663,3.030238958741663,-127.8350954350057,-2.1305849239167616,-0.5203726485492568,0.5431716198624368,2.576305552939077,19.775841583971726,0.46406449116154075,-0.027910509274621353,1.4371934215654183e-15,robust_zscore,n
60,absolute_layered,6,0.5,1.0,A4,128.44114322675404,2.842170943040401e-14,sis,0.2529456018518519,14.453840907611946,3.030238958741663,3.030238958741663,-126.9260237473832,-2.1154337291230534,-0.516672130782993,0.5431716198624368,2.576305552939077,19.775841583971726,0.46406449116154075,0.7449811566071016,1.4371934215654183e-15,robust_zscore,n
60,absolute_layered,6,1.0,1.0,A4,128.44114322675404,2.842170943040401e-14,sis,0.2529456018518519,14.453840907611946,3.030238958741663,3.030238958741663,-125.41090426801237,-2.090181737800206,-0.5105046011725534,0.5431716198624368,2.576305552939077,19.775841583971726,0.46406449116154075,2.0331339330766403,1.4371934215654183e-15,robust_zscore,n
60,absolute_layered,7,0.0,1.0,A4,128.8764612980119,0.0,sis,0.2614719135802469,15.323836435645916,2.9110272588490274,2.9110272588490274,-128.8764612980119,-2.1479410216335313,-0.524611690342884,0.5651842391185841,2.319419490413043,19.775841583971726,0.46406449116154075,-0.5651842391185841,0.0,robust_zscore,n
60,absolute_layered,7,0.2,1.0,A4,128.8764612980119,0.0,sis,0.2614719135802469,15.323836435645916,2.9110272588490274,2.9110272588490274,-128.2942558462421,-2.138237597437368,-0.5222417324537275,0.5651842391185841,2.319419490413043,19.775841583971726,0.46406449116154075,-0.10130034103597546,0.0,robust_zscore,n
60,absolute_layered,7,0.5,1.0,A4,128.8764612980119,0.0,sis,0.2614719135802469,15.323836435645916,2.9110272588490274,2.9110272588490274,-127.42094766858737,-2.123682461143123,-0.5186867956199926,0.5651842391185841,2.319419490413043,19.775841583971726,0.46406449116154075,0.5945255060879374,0.0,robust_zscore,n
60,absolute_layered,7,1.0,1.0,A4,128.8764612980119,0.0,sis,0.2614719135802469,15.323836435645916,2.9110272588490274,2.9110272588490274,-125.96543403916286,-2.0994239006527144,-0.5127619008971013,0.5651842391185841,2.319419490413043,19.775841583971726,0.46406449116154075,1.754235251294459,0.0,robust_zscore,n
60,absolute_layered,8,0.0,1.0,A4,125.75189615261492,0.0,sis,0.25135802469135804,16.376734645035917,3.381595499033167,3.381595499033167,-125.75189615261492,-2.0958649358769152,-0.511892661701007,0.40718514046432375,3.333434242988316,19.775841583971726,0.46406449116154075,-0.40718514046432375,0.0,robust_zscore,n
60,absolute_layered,8,0.2,1.0,A4,125.75189615261492,0.0,sis,0.25135802469135804,16.376734645035917,3.381595499033167,3.381595499033167,-125.07557705280828,-2.084592950880138,-0.5091395995623726,0.40718514046432375,3.333434242988316,19.775841583971726,0.46406449116154075,0.2595017081333395,0.0,robust_zscore,n
60,absolute_layered,8,0.5,1.0,A4,125.75189615261492,0.0,sis,0.25135802469135804,16.376734645035917,3.381595499033167,3.381595499033167,-124.06109840309834,-2.0676849733849725,-0.5050100063544211,0.40718514046432375,3.333434242988316,19.775841583971726,0.46406449116154075,1.2595319810298342,0.0,robust_zscore,n
60,absolute_layered,8,1.0,1.0,A4,125.75189615261492,0.0,sis,0.25135802469135804,16.376734645035917,3.381595499033167,3.381595499033167,-122.37030065358175,-2.0395050108930293,-0.49812735100783506,0.40718514046432375,3.333434242988316,19.775841583971726,0.46406449116154075,2.9262491025239923,0.0,robust_zscore,n
60,absolute_layered,9,0.0,1.0,A4,115.17076188582364,1.4210854715202004e-14,sis,0.11615547839506171,24.156723645795275,2.390412156149427,2.390412156149427,-115.17076188582364,-1.9195126980970607,-0.46882050812433196,-0.12786841070121885,1.1975601096263015,19.775841583971726,0.46406449116154075,0.12786841070121885,7.185967107827092e-16,robust_zscore,n
60,absolute_layered,9,0.2,1.0,A4,115.17076188582364,1.4210854715202004e-14,sis,0.11615547839506171,24.156723645795275,2.390412156149427,2.390412156149427,-114.69267945459376,-1.9115446575765627,-0.4668743991929982,-0.12786841070121885,1.1975601096263015,19.775841583971726,0.46406449116154075,0.3673804326264792,7.185967107827092e-16,robust_zscore,n
60,absolute_layered,9,0.5,1.0,A4,115.17076188582364,1.4210854715202004e-14,sis,0.11615547839506171,24.156723645795275,2.390412156149427,2.390412156149427,-113.97555580774892,-1.8995925967958154,-0.4639552357959976,-0.12786841070121885,1.1975601096263015,19.775841583971726,0.46406449116154075,0.7266484655143697,7.185967107827092e-16,robust_zscore,n
60,absolute_layered,9,1.0,1.0,A4,115.17076188582364,1.4210854715202004e-14,sis,0.11615547839506171,24.156723645795275,2.390412156149427,2.390412156149427,-112.78034972967421,-1.8796724954945703,-0.45908996346766334,-0.12786841070121885,1.1975601096263015,19.775841583971726,0.46406449116154075,1.3254285203275205,7.185967107827092e-16,robust_zscore,n
60,absolute_layered,10,0.0,1.0,A4,140.880650290522,0.0,sis,0.3422665895061729,10.026195175324268,4.891293427119253,4.891293427119253,-140.880650290522,-2.348010838175367,-0.5734766096239453,1.17219704014342,6.586641408887506,19.775841583971726,0.46406449116154075,-1.17219704014342,0.0,robust_zscore,n
60,absolute_layered,10,0.2,1.0,A4,140.880650290522,0.0,sis,0.3422665895061729,10.026195175324268,4.891293427119253,4.891293427119253,-139.90239160509816,-2.331706526751636,-0.5694944554168548,1.17219704014342,6.586641408887506,19.775841583971726,0.46406449116154075,0.1451312416340813,0.0,robust_zscore,n
60,absolute_layered,10,0.5,1.0,A4,140.880650290522,0.0,sis,0.3422665895061729,10.026195175324268,4.891293427119253,4.891293427119253,-138.43500357696237,-2.3072500596160395,-0.563521224106219,1.17219704014342,6.586641408887506,19.775841583971726,0.46406449116154075,2.121123664300333,0.0,robust_zscore,n
60,absolute_layered,10,1.0,1.0,A4,140.880650290522,0.0,sis,0.3422665895061729,10.026195175324268,4.891293427119253,4.891293427119253,-135.98935686340275,-2.2664892810567125,-0.5535658385884927,1.17219704014342,6.586641408887506,19.775841583971726,0.46406449116154075,5.414444368744086,0.0,robust_zscore,n
60,absolute_layered,11,0.0,1.0,A4,127.31077363987713,1.4210854715202004e-14,sis,0.2340786265432099,17.947964405227925,3.8193405484930993,3.8193405484930993,-127.31077363987713,-2.1218462273312855,-0.5182383150918075,0.4860125056939115,4.27671919108738,19.775841583971726,0.46406449116154075,-0.4860125056939115,7.185967107827092e-16,robust_zscore,n
