n,gamma,family,action_mode,score_norm_mean,score_norm_std,score_norm_ci_low,score_norm_ci_high,bootstrap_mode,count
20,0.0,KR_2layer,A1,-1.7345633301994372,0.11027159471758363,-2.040015809603343,-1.3962742439253284,outer_plus_measurement,16
20,0.0,KR_2layer,A2,-1.7345633301994372,0.11027159471758363,-2.043607143352533,-1.396240006975126,outer_plus_measurement,16
20,0.0,KR_2layer,A3,-1.7345633301994372,0.11027159471758363,-2.0734567131886537,-1.3765952076649577,outer_plus_measurement,16
20,0.0,KR_4layer,A1,0.28511843879169474,0.10249832110521043,0.01987552435062727,0.5471718306396149,outer_plus_measurement,16
20,0.0,KR_4layer,A2,0.28511843879169474,0.10249832110521043,0.008021635095647336,0.5743274148288646,outer_plus_measurement,16
20,0.0,KR_4layer,A3,0.28511843879169474,0.10249832110521043,0.004042316534943676,0.5180578874706718,outer_plus_measurement,16
20,0.0,KR_like,A1,-0.10869761288928949,0.1467667265966398,-0.3697921220017967,0.13158559773557277,outer_plus_measurement,16
20,0.0,KR_like,A2,-0.10869761288928949,0.1467667265966398,-0.38026749441772645,0.1716652577016102,outer_plus_measurement,16
20,0.0,KR_like,A3,-0.10869761288928949,0.1467667265966398,-0.39256778674942094,0.13950636869894198,outer_plus_measurement,16
20,0.0,absolute_layered,A1,0.9184508037562477,0.5126115727111812,0.6840902277472201,1.1652048795535386,outer_plus_measurement,16
20,0.0,absolute_layered,A2,0.9184508037562477,0.5126115727111812,0.6490922625541997,1.149786178555598,outer_plus_measurement,16
20,0.0,absolute_layered,A3,0.9184508037562477,0.5126115727111812,0.6808080376083318,1.1584005095688268,outer_plus_measurement,16
20,0.0,interval_order,A1,1.072690786491475,0.8639034550069227,0.624588624834292,1.548279222177844,outer_plus_measurement,16
20,0.0,interval_order,A2,1.072690786491475,0.8639034550069227,0.581244309340039,1.5254739438529328,outer_plus_measurement,16
20,0.0,interval_order,A3,1.072690786491475,0.8639034550069227,0.5558574550999384,1.4997147632549241,outer_plus_measurement,16
20,0.0,lorentzian_like_2d,A1,1.010629519533725,0.32868788971811536,0.7391687944536124,1.2796957229528787,outer_plus_measurement,16
20,0.0,lorentzian_like_2d,A2,1.010629519533725,0.32868788971811536,0.7535395410777412,1.2818119849350682,outer_plus_measurement,16
20,0.0,lorentzian_like_2d,A3,1.010629519533725,0.32868788971811536,0.7359859443721057,1.2733769580609353,outer_plus_measurement,16
20,0.0,lorentzian_like_3d,A1,-0.7031072868483399,0.4373805131094954,-1.0674386275493848,-0.3721107153649995,outer_plus_measurement,16
20,0.0,lorentzian_like_3d,A2,-0.7031072868483399,0.4373805131094954,-1.020502039414261,-0.38346990686462945,outer_plus_measurement,16
20,0.0,lorentzian_like_3d,A3,-0.7031072868483399,0.4373805131094954,-1.025743638661553,-0.3610313414845013,outer_plus_measurement,16
20,0.0,lorentzian_like_4d,A1,-1.606903116696634,0.2833498882461391,-1.918592577859412,-1.2919907304093843,outer_plus_measurement,16
20,0.0,lorentzian_like_4d,A2,-1.606903116696634,0.2833498882461391,-1.8997301453548494,-1.3253856069985548,outer_plus_measurement,16
20,0.0,lorentzian_like_4d,A3,-1.606903116696634,0.2833498882461391,-1.899706328033843,-1.305205202148573,outer_plus_measurement,16
20,0.0,lorentzian_like_5d,A1,-2.1393146257974616,0.3773391674032902,-2.4302830446933115,-1.836146402446823,outer_plus_measurement,16
20,0.0,lorentzian_like_5d,A2,-2.1393146257974616,0.3773391674032902,-2.4195733159667623,-1.8386557725223722,outer_plus_measurement,16
20,0.0,lorentzian_like_5d,A3,-2.1393146257974616,0.3773391674032902,-2.4289599257624417,-1.8429477074335652,outer_plus_measurement,16
20,0.0,multi_layer_random,A1,0.17848636406331597,0.3921376345319016,-0.175105627263876,0.4689206220040746,outer_plus_measurement,16
20,0.0,multi_layer_random,A2,0.17848636406331597,0.3921376345319016,-0.14852946281606097,0.46760384178907066,outer_plus_measurement,16
