n,gamma,family,action_mode,mean_score_norm,std_score_norm,mean_score_norm_std_est,mean_log_H_norm,mean_penalty_norm,count
20,0.0,lorentzian_like_5d,A1,-2.139314625797461,0.37733916740329015,0.5009140846478441,2.139314625797461,-0.6593267570698667,16
20,0.0,KR_2layer,A1,-1.734563330199437,0.11027159471758367,0.6718056949992411,1.734563330199437,-0.6375729415780786,16
20,0.0,lorentzian_like_4d,A1,-1.606903116696634,0.2833498882461391,0.523081421501136,1.606903116696634,-0.6549230697290034,16
20,0.0,transitive_percolation,A1,-1.3473858029250565,0.42311148521695213,0.5915418134120207,1.3473858029250565,-0.6657791328837765,16
20,0.0,lorentzian_like_3d,A1,-0.7031072868483399,0.43738051310949544,0.5059614372327308,0.7031072868483399,-0.6666586176884473,16
20,0.0,KR_like,A1,-0.10869761288928949,0.1467667265966398,0.5146391562386203,0.10869761288928949,-0.6695929692966921,16
20,0.0,random_layered_k4_uniform,A1,0.04411661529811351,0.40307075419525557,0.5242121314942703,-0.04411661529811351,-0.6750392027604496,16
20,0.0,random_layered_k6_uniform,A1,0.06904297796202617,0.5691444153265942,0.5871495123183802,-0.06904297796202617,-0.6719468886453591,16
20,0.0,random_layered_k8_uniform,A1,0.10845554615837222,0.7448500041554142,0.6065310087133978,-0.10845554615837222,-0.672896797296229,16
20,0.0,random_layered_k6_tapered,A1,0.1748156113912444,0.6603241844538799,0.5632865738954516,-0.1748156113912444,-0.6711070212239181,16
20,0.0,multi_layer_random,A1,0.17848636406331597,0.3921376345319016,0.5309130606656394,-0.17848636406331597,-0.6725265078227652,16
20,0.0,random_layered_k6_middle_heavy,A1,0.21842160663924587,0.5274795195224352,0.6141593060363575,-0.21842160663924587,-0.6734592989209625,16
20,0.0,KR_4layer,A1,0.2851184387916947,0.10249832110521043,0.5373091553701642,-0.2851184387916947,-0.6663290793561112,16
20,0.0,random_layered_k6_longjump,A1,0.3920827649896106,0.45881411882318957,0.567706807290059,-0.3920827649896106,-0.6746332734221802,16
20,0.0,absolute_layered,A1,0.9184508037562477,0.5126115727111812,4.729969959095847e-16,-0.9184508037562477,-0.6509191046521777,16
20,0.0,lorentzian_like_2d,A1,1.010629519533725,0.32868788971811547,0.4779689410043518,-1.010629519533725,-0.673745356558183,16
20,0.0,interval_order,A1,1.072690786491475,0.8639034550069226,0.48639412243967645,-1.072690786491475,-0.667359115485897,16
20,0.1,lorentzian_like_5d,A1,-2.205247301504448,0.3764401361113717,0.5009140846478441,2.139314625797461,-0.6593267570698667,16
20,0.1,KR_2layer,A1,-1.798320624357245,0.11112242171181146,0.6718056949992411,1.734563330199437,-0.6375729415780786,16
20,0.1,lorentzian_like_4d,A1,-1.6723954236695344,0.28317417454865246,0.523081421501136,1.606903116696634,-0.6549230697290034,16
20,0.1,transitive_percolation,A1,-1.413963716213434,0.42254680440993675,0.5915418134120207,1.3473858029250565,-0.6657791328837765,16
20,0.1,lorentzian_like_3d,A1,-0.7697731486171846,0.43652353117056264,0.5059614372327308,0.7031072868483399,-0.6666586176884473,16
20,0.1,KR_like,A1,-0.1756569098189587,0.1469049784126925,0.5146391562386203,0.10869761288928949,-0.6695929692966921,16
