stage,n,n_cg,family,sample_id,keep_ratio,cg_repeat,gamma,beta,action_mode,entropy_method,log_H,penalty_local,score_local,penalty_cg,penalty_global_consistency,score_augmented,score_augmented_full,self_drift,nearest_family,nearest_family_dist,family_switch_penalty,rank_before,rank_after,rank_shift_penalty,sig_comp,sig_d_eff,sig_height_ratio,sig_width_ratio,sig_degree_var,sig_interval_empty,sig_interval_size_ratio,gc_var_comp,gc_var_d_eff,gc_var_height_ratio,gc_var_width_ratio,gc_var_size_ratio,gc_count,gc_total,gc_var_comp_ref_penalty,gc_var_d_eff_ref_penalty,gc_var_height_ratio_ref_penalty,gc_var_width_ratio_ref_penalty,gc_var_size_ratio_ref_penalty,gc_total_ref
coarse_grained,20,12,KR_like,1,0.6,0,0.2,1.0,A2,sis,14.085407915763982,14.129742061389218,-11.259459503486138,2.1505200763574246,0.0,-9.108939427128714,-9.108939427128714,0.01505200763574249,lorentzian_like_3d,0.18995899198728344,1.0,2,1,1.0,0.30303030303030304,3.187218181818182,0.25,0.4166666666666667,0.0304783950617284,0.85,0.024999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,12,KR_like,1,0.6,1,0.2,1.0,A2,sis,12.279555422289976,7.816815476878963,-10.716192326914182,0.020319863258946504,0.0,-10.695872463655236,-10.695872463655236,0.00203198632589465,KR_like,0.19853345046643373,0.0,2,2,0.0,0.3484848484848485,2.914490909090909,0.25,0.4166666666666667,0.031780478395061734,0.6956521739130435,0.04710144927536231,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,16,KR_like,1,0.8,0,0.8,1.0,A2,sis,19.388192739619928,8.603777837874725,-12.505170469320149,0.0072020315027693516,0.0,-12.497968437817379,-12.497968437817379,0.0007202031502769352,KR_like,0.16156888330796906,0.0,3,3,0.0,0.35,2.9054,0.1875,0.4375,0.03021240234375,0.6904761904761905,0.03869047619047619,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,16,KR_like,1,0.8,1,0.8,1.0,A2,sis,20.441566154263576,19.754704094488197,-4.637802878673018,2.341737257487142,0.0,-2.2960656211858756,-2.2960656211858756,0.0341737257487142,lorentzian_like_3d,0.08574550641157397,1.0,3,4,1.0,0.26666666666666666,3.4054,0.1875,0.5,0.022705078125,0.8125,0.0234375,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,12,KR_like,1,0.6,0,0.8,1.0,A2,sis,14.085407915763982,14.129742061389218,-2.781614266652607,2.1505200763574246,0.0,-0.6310941902951823,-0.6310941902951823,0.01505200763574249,lorentzian_like_3d,0.18995899198728344,1.0,3,4,1.0,0.30303030303030304,3.187218181818182,0.25,0.4166666666666667,0.0304783950617284,0.85,0.024999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,12,KR_like,1,0.6,1,0.8,1.0,A2,sis,12.279555422289976,7.816815476878963,-6.026103040786805,0.020319863258946504,0.0,-6.005783177527858,-6.005783177527858,0.00203198632589465,KR_like,0.19853345046643373,0.0,3,3,0.0,0.3484848484848485,2.914490909090909,0.25,0.4166666666666667,0.031780478395061734,0.6956521739130435,0.04710144927536231,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,16,KR_like,2,0.8,0,0.2,1.0,A2,sis,18.865126792880975,6.796019791431551,-17.505922834594664,0.005648877350106567,0.0,-17.500273957244556,-17.500273957244556,0.0005648877350106567,KR_like,0.21239201016764908,0.0,2,2,0.0,0.4083333333333333,2.5554,0.1875,0.5,0.0402679443359375,0.6938775510204082,0.04591836734693878,0.0,0.0,0.0015432098765432091,0.0,0.0008680555555555556,3.0,0.003954475308641974,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,16,KR_like,2,0.8,1,0.2,1.0,A2,sis,19.354011702970926,3.392641133762892,-18.675483476218346,0.015087301979704353,0.0,-18.66039617423864,-18.66039617423864,0.0015087301979704354,KR_like,0.30928736607282964,0.0,2,2,0.0,0.425,2.4554,0.1875,0.4375,0.0408782958984375,0.6274509803921569,0.03676470588235294,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,12,KR_like,2,0.6,0,0.2,1.0,A2,sis,13.11871673648413,10.6189273137464,-10.99493127373485,0.31065271161156655,0.0,-10.684278562123282,-10.684278562123282,0.031065271161156656,KR_like,0.28576201761299114,0.0,2,2,0.0,0.3484848484848485,2.914490909090909,0.25,0.5,0.03351658950617284,0.8695652173913043,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coarse_grained,20,12,KR_like,2,0.6,1,0.2,1.0,A2,sis,11.914262062494613,1.3857345988332308,-11.637115142727966,3.178322880588209,0.0,-8.458792262139756,-8.458792262139756,0.01783228805882089,lorentzian_like_2d,0.35845580030199914,1.0,2,5,3.0,0.4696969696969697,2.1872181818181815,0.25,0.4166666666666667,0.04914158950617284,0.6774193548387096,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
