n,gamma,family,action_mode,mean_score_norm,std_score_norm,mean_score_norm_std_est,mean_log_H_norm,mean_penalty_norm,count
10,0.0,transitive_percolation,A1,-1.3265437279345738,0.10332219413751367,0.0,1.3265437279345738,-0.4820418819547767,2
10,0.0,lorentzian_like_5d,A1,-1.3141120612986776,0.2675197524724443,0.0,1.3141120612986776,-0.4939823304273382,2
10,0.0,lorentzian_like_4d,A1,-0.876896482878829,0.2722338979480766,0.0,0.876896482878829,-0.6506157824365156,2
10,0.0,KR_2layer,A1,-0.7733962833132293,0.17906898221189485,0.0,0.7733962833132293,-0.5811664164197307,2
10,0.0,lorentzian_like_3d,A1,-0.40976399307212225,0.2222762104617461,0.0,0.40976399307212225,-0.6270338406960849,2
10,0.0,random_layered_k8_uniform,A1,-0.3908367913553343,0.5920079661399101,0.0,0.3908367913553343,-0.6942514025115036,2
10,0.0,random_layered_k6_tapered,A1,-0.3814814358142897,0.9285114222384042,0.0,0.3814814358142897,-0.6062490540886663,2
10,0.0,random_layered_k6_uniform,A1,-0.058062684214687826,0.6356289770741321,0.0,0.058062684214687826,-0.6736649327230393,2
10,0.0,random_layered_k4_uniform,A1,-0.044657027654861514,1.0030175327226056,0.0,0.044657027654861514,-0.6470786391730772,2
10,0.0,random_layered_k6_longjump,A1,-0.010923810998238359,0.6517919533038228,0.0,0.010923810998238359,-0.6764620878560512,2
10,0.0,multi_layer_random,A1,0.22116113237042612,0.3520503479988616,0.0,-0.22116113237042612,-0.6909747350699752,2
10,0.0,random_layered_k6_middle_heavy,A1,0.4868460112537309,0.7318143641425738,0.0,-0.4868460112537309,-0.6801649884607053,2
10,0.0,KR_like,A1,0.5542480962502376,0.06288786778530749,0.0,-0.5542480962502376,-0.6784304562829857,2
10,0.0,KR_4layer,A1,0.7026628718026382,0.23221849043545928,0.0,-0.7026628718026382,-0.651628086198939,2
10,0.0,interval_order,A1,0.8436624437661872,0.6724948418441846,0.0,-0.8436624437661872,-0.6534987761926572,2
10,0.0,lorentzian_like_2d,A1,0.94205150865518,0.06636616345799518,0.0,-0.94205150865518,-0.672007359310884,2
10,0.0,absolute_layered,A1,1.411232599560237,0.13017057007797125,0.0,-1.411232599560237,-0.6372160773707531,2
10,0.2,transitive_percolation,A1,-1.422952104325529,0.10313754480583921,0.0,1.3265437279345738,-0.4820418819547767,2
10,0.2,lorentzian_like_5d,A1,-1.4129085273841453,0.21106347512439189,0.0,1.3141120612986776,-0.4939823304273382,2
10,0.2,lorentzian_like_4d,A1,-1.0070196393661321,0.26149679512262286,0.0,0.876896482878829,-0.6506157824365156,2
10,0.2,KR_2layer,A1,-0.8896295665971755,0.21017267376520915,0.0,0.7733962833132293,-0.5811664164197307,2
10,0.2,lorentzian_like_3d,A1,-0.5351707612113392,0.22513441467586684,0.0,0.40976399307212225,-0.6270338406960849,2
10,0.2,random_layered_k8_uniform,A1,-0.529687071857635,0.599670866893234,0.0,0.3908367913553343,-0.6942514025115036,2
10,0.2,random_layered_k6_tapered,A1,-0.502731246632023,0.9089929181235793,0.0,0.3814814358142897,-0.6062490540886663,2
10,0.2,random_layered_k6_uniform,A1,-0.19279567075929566,0.6361128792521527,0.0,0.058062684214687826,-0.6736649327230393,2
10,0.2,random_layered_k4_uniform,A1,-0.17407275548947698,0.9970817776323548,0.0,0.044657027654861514,-0.6470786391730772,2
10,0.2,random_layered_k6_longjump,A1,-0.1462162285694486,0.6510175423787901,0.0,0.010923810998238359,-0.6764620878560512,2
10,0.2,multi_layer_random,A1,0.08296618535643108,0.3497899052987661,0.0,-0.22116113237042612,-0.6909747350699752,2
10,0.2,random_layered_k6_middle_heavy,A1,0.3508130135615898,0.729902197058493,0.0,-0.4868460112537309,-0.6801649884607053,2
10,0.2,KR_like,A1,0.41856200499364055,0.05900995275314367,0.0,-0.5542480962502376,-0.6784304562829857,2
10,0.2,KR_4layer,A1,0.5723372545628503,0.2290161966103239,0.0,-0.7026628718026382,-0.651628086198939,2
10,0.2,interval_order,A1,0.7129626885276558,0.6727753041791965,0.0,-0.8436624437661872,-0.6534987761926572,2
10,0.2,lorentzian_like_2d,A1,0.8076500367930031,0.06529622057994999,0.0,-0.94205150865518,-0.672007359310884,2
10,0.2,absolute_layered,A1,1.2837893840860863,0.12635795672381012,0.0,-1.411232599560237,-0.6372160773707531,2
10,0.5,transitive_percolation,A1,-1.567564668911962,0.10286057080832751,0.0,1.3265437279345738,-0.4820418819547767,2
10,0.5,lorentzian_like_5d,A1,-1.5611032265123468,0.1263790591023133,0.0,1.3141120612986776,-0.4939823304273382,2
10,0.5,lorentzian_like_4d,A1,-1.2022043740970867,0.24539114088444225,0.0,0.876896482878829,-0.6506157824365156,2
10,0.5,KR_2layer,A1,-1.0639794915230947,0.2568282110951806,0.0,0.7733962833132293,-0.5811664164197307,2
10,0.5,random_layered_k8_uniform,A1,-0.737962492611086,0.6111652180232195,0.0,0.3908367913553343,-0.6942514025115036,2
10,0.5,lorentzian_like_3d,A1,-0.7232809134201648,0.22942172099704805,0.0,0.40976399307212225,-0.6270338406960849,2
10,0.5,random_layered_k6_tapered,A1,-0.6846059628586229,0.8797151619513423,0.0,0.3814814358142897,-0.6062490540886663,2
10,0.5,random_layered_k6_uniform,A1,-0.39489515057620744,0.6368387325191833,0.0,0.058062684214687826,-0.6736649327230393,2
10,0.5,random_layered_k4_uniform,A1,-0.36819634724140005,0.9881781449969786,0.0,0.044657027654861514,-0.6470786391730772,2
10,0.5,random_layered_k6_longjump,A1,-0.34915485492626397,0.649855925991241,0.0,0.010923810998238359,-0.6764620878560512,2
10,0.5,multi_layer_random,A1,-0.12432623516456148,0.34639924124862276,0.0,-0.22116113237042612,-0.6909747350699752,2
10,0.5,random_layered_k6_middle_heavy,A1,0.14676351702337823,0.7270339464323717,0.0,-0.4868460112537309,-0.6801649884607053,2
10,0.5,KR_like,A1,0.21503286810874483,0.053193080204897894,0.0,-0.5542480962502376,-0.6784304562829857,2
10,0.5,KR_4layer,A1,0.3768488287031687,0.224212755872621,0.0,-0.7026628718026382,-0.651628086198939,2
10,0.5,interval_order,A1,0.5169130556698587,0.6731959976817143,0.0,-0.8436624437661872,-0.6534987761926572,2
10,0.5,lorentzian_like_2d,A1,0.606047828999738,0.06369130626288215,0.0,-0.94205150865518,-0.672007359310884,2
10,0.5,absolute_layered,A1,1.0926245608748606,0.12063903669256835,0.0,-1.411232599560237,-0.6372160773707531,2
10,1.0,transitive_percolation,A1,-1.8085856098893505,0.10239894747914136,0.0,1.3265437279345738,-0.4820418819547767,2
10,1.0,lorentzian_like_5d,A1,-1.8080943917260157,0.014761634267817923,0.0,1.3141120612986776,-0.4939823304273382,2
10,1.0,lorentzian_like_4d,A1,-1.5275122653153448,0.21854838382080805,0.0,0.876896482878829,-0.6506157824365156,2
10,1.0,KR_2layer,A1,-1.35456269973296,0.33458743997846646,0.0,0.7733962833132293,-0.5811664164197307,2
10,1.0,random_layered_k8_uniform,A1,-1.085088193866838,0.6303224699065293,0.0,0.3908367913553343,-0.6942514025115036,2
10,1.0,lorentzian_like_3d,A1,-1.0367978337682073,0.23656723153235001,0.0,0.40976399307212225,-0.6270338406960849,2
10,1.0,random_layered_k6_tapered,A1,-0.9877304899029559,0.8309189016642801,0.0,0.3814814358142897,-0.6062490540886663,2
10,1.0,random_layered_k6_uniform,A1,-0.731727616937727,0.6380484879642344,0.0,0.058062684214687826,-0.6736649327230393,2
10,1.0,random_layered_k4_uniform,A1,-0.6917356668279386,0.9733387572713514,0.0,0.044657027654861514,-0.6470786391730772,2
10,1.0,random_layered_k6_longjump,A1,-0.6873858988542896,0.6479198986786592,0.0,0.010923810998238359,-0.6764620878560512,2
10,1.0,multi_layer_random,A1,-0.4698136026995491,0.3407481344983839,0.0,-0.22116113237042612,-0.6909747350699752,2
10,1.0,random_layered_k6_middle_heavy,A1,-0.19331897720697444,0.7222535287221699,0.0,-0.4868460112537309,-0.6801649884607053,2
10,1.0,KR_like,A1,-0.12418236003274802,0.04349829262448827,0.0,-0.5542480962502376,-0.6784304562829857,2
10,1.0,KR_4layer,A1,0.05103478560369917,0.21620702130978264,0.0,-0.7026628718026382,-0.651628086198939,2
10,1.0,interval_order,A1,0.19016366757353,0.6738971535192438,0.0,-0.8436624437661872,-0.6534987761926572,2
10,1.0,lorentzian_like_2d,A1,0.27004414934429594,0.06101644906776912,0.0,-0.94205150865518,-0.672007359310884,2
10,1.0,absolute_layered,A1,0.7740165221894839,0.11110750330716562,0.0,-1.411232599560237,-0.6372160773707531,2
20,0.0,lorentzian_like_5d,A1,-2.2397346277991206,0.20233705410114652,0.6513343932908074,2.2397346277991206,-0.6705900531919091,2
20,0.0,KR_2layer,A1,-2.2339095659690322,0.09718374038477269,0.6473418490832726,2.2339095659690322,-0.6077411619501734,2
20,0.0,lorentzian_like_4d,A1,-1.9855576012315042,0.5033854288852811,0.48479551095108286,1.9855576012315042,-0.6234176265749494,2
20,0.0,lorentzian_like_3d,A1,-1.3483175117687687,0.05468134930387452,0.5635885746205169,1.3483175117687687,-0.6329092439987091,2
20,0.0,transitive_percolation,A1,-1.1976876238816239,0.045140586633715465,0.5571499397356383,1.1976876238816239,-0.6714084754852796,2
20,0.0,KR_like,A1,-0.47183772231291077,0.1675361709834536,0.5009552312426124,0.47183772231291077,-0.6792373542046914,2
20,0.0,random_layered_k8_uniform,A1,-0.26557525995859704,1.1383242773259004,0.6465817883879987,0.26557525995859704,-0.6773450987651308,2
20,0.0,KR_4layer,A1,-0.1849640000804325,0.22705988593620355,0.6629963368982461,0.1849640000804325,-0.6646682292256962,2
20,0.0,random_layered_k4_uniform,A1,0.0,0.030216460839971065,0.44598825446920326,0.0,-0.6813122798129627,2
20,0.0,multi_layer_random,A1,0.05177252047504158,0.5201688402727598,0.3129124511784903,-0.05177252047504158,-0.6579859909628896,2
20,0.0,random_layered_k6_longjump,A1,0.29839354986758493,0.11931379552262973,0.46757612764566425,-0.29839354986758493,-0.6745907407393318,2
20,0.0,random_layered_k6_tapered,A1,0.366373740965668,0.14982516997062179,0.38385755119284004,-0.366373740965668,-0.6589284244064524,2
20,0.0,random_layered_k6_middle_heavy,A1,0.40577628865109605,0.03649368418781671,0.6688985059232394,-0.40577628865109605,-0.6812624463848378,2
20,0.0,random_layered_k6_uniform,A1,0.42309976425206985,0.47482857422101127,0.42072070856934374,-0.42309976425206985,-0.6784409625741512,2
20,0.0,lorentzian_like_2d,A1,0.6881447112722605,0.444142857716439,0.5115737715510187,-0.6881447112722605,-0.6820377727807765,2
20,0.0,absolute_layered,A1,0.7891408644731803,0.04308123078414225,0.0,-0.7891408644731803,-0.6322757149282239,2
20,0.0,interval_order,A1,1.3270140201040928,0.34965530968914055,0.4576813177547433,-1.3270140201040928,-0.658362826386448,2
20,0.2,lorentzian_like_5d,A1,-2.3738526384375023,0.21114118983137428,0.6513343932908074,2.2397346277991206,-0.6705900531919091,2
20,0.2,KR_2layer,A1,-2.355457798359067,0.11016738989292252,0.6473418490832726,2.2339095659690322,-0.6077411619501734,2
20,0.2,lorentzian_like_4d,A1,-2.110241126546494,0.49424705255092705,0.48479551095108286,1.9855576012315042,-0.6234176265749494,2
20,0.2,lorentzian_like_3d,A1,-1.4748993605685103,0.04704069133061899,0.5635885746205169,1.3483175117687687,-0.6329092439987091,2
20,0.2,transitive_percolation,A1,-1.3319693189786799,0.04911231483123091,0.5571499397356383,1.1976876238816239,-0.6714084754852796,2
20,0.2,KR_like,A1,-0.6076851931538491,0.16769784133023408,0.5009552312426124,0.47183772231291077,-0.6792373542046914,2
