n,family,sample_id,gamma,beta,action_mode,log_H_mean,log_H_std,entropy_method,penalty_neutral,penalty_geometric,penalty_info,penalty_effective,score,score_per_node,score_per_nlogn,log_H_norm,penalty_norm,log_H_norm_scale,penalty_norm_scale,score_norm,score_norm_std_est,normalization_method,normalization_group
10,absolute_layered,0,0.0,1.0,A1,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.5972350669162926,0.1906,-6.173786103901937,-0.6173786103901937,-0.2681241237375587,-1.319188106747185,-0.6237364535869045,2.7748842334516826,1.8769069823977402,1.319188106747185,0.0,robust_zscore,n
10,absolute_layered,0,0.0,1.0,A3,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.5972350669162926,16.52718529491215,-6.173786103901937,-0.6173786103901937,-0.2681241237375587,-1.319188106747185,8.080256577565997,2.7748842334516826,1.8769069823977402,1.319188106747185,0.0,robust_zscore,n
10,absolute_layered,0,0.0,1.0,A4,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.5972350669162926,0.5972350669162926,-6.173786103901937,-0.6173786103901937,-0.2681241237375587,-1.319188106747185,-0.4070847650749794,2.7748842334516826,1.8769069823977402,1.319188106747185,0.0,robust_zscore,n
10,absolute_layered,0,0.2,1.0,A1,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.5972350669162926,0.1906,-6.1356661039019365,-0.6135666103901937,-0.26646859317254346,-1.319188106747185,-0.6237364535869045,2.7748842334516826,1.8769069823977402,1.194440816029804,0.0,robust_zscore,n
10,absolute_layered,0,0.2,1.0,A3,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.5972350669162926,16.52718529491215,-2.868349044919506,-0.2868349044919506,-0.12457081623810039,-1.319188106747185,8.080256577565997,2.7748842334516826,1.8769069823977402,2.935239422260384,0.0,robust_zscore,n
10,absolute_layered,0,0.2,1.0,A4,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.5972350669162926,0.5972350669162926,-6.0543390905186785,-0.6054339090518679,-0.2629366058583414,-1.319188106747185,-0.4070847650749794,2.7748842334516826,1.8769069823977402,1.237771153732189,0.0,robust_zscore,n
10,absolute_layered,0,0.5,1.0,A1,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.5972350669162926,0.1906,-6.078486103901937,-0.6078486103901937,-0.2639852973250207,-1.319188106747185,-0.6237364535869045,2.7748842334516826,1.8769069823977402,1.0073198799537326,0.0,robust_zscore,n
10,absolute_layered,0,0.5,1.0,A3,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.5972350669162926,16.52718529491215,2.089806543554139,0.20898065435541388,0.090759145011087,-1.319188106747185,8.080256577565997,2.7748842334516826,1.8769069823977402,5.3593163955301835,0.0,robust_zscore,n
10,absolute_layered,0,0.5,1.0,A4,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.5972350669162926,0.5972350669162926,-5.87516857044379,-0.5875168570443791,-0.25515532903951543,-1.319188106747185,-0.4070847650749794,2.7748842334516826,1.8769069823977402,1.115645724209695,0.0,robust_zscore,n
10,absolute_layered,0,1.0,1.0,A1,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.5972350669162926,0.1906,-5.983186103901937,-0.5983186103901936,-0.2598464709124827,-1.319188106747185,-0.6237364535869045,2.7748842334516826,1.8769069823977402,0.6954516531602803,0.0,robust_zscore,n
