n,family,sample_id,log_H_exact,log_H_sis_mean,log_H_sis_std,abs_error,signed_error
20,KR_like,0,27.42025352255112,27.41834295307561,2.3149984649548214,0.0019105694755126024,-0.0019105694755126024
20,KR_like,1,26.194470434123247,26.225569693202353,2.16923897591927,0.031099259079105934,0.031099259079105934
20,KR_like,2,27.48028837287249,27.486576535788082,2.3320120283734216,0.006288162915591755,0.006288162915591755
20,KR_like,3,27.208954422487093,27.213452768132846,2.199168223343082,0.0044983456457536874,0.0044983456457536874
20,lorentzian_like_3d,0,28.813506067352247,28.865816316624603,1.9567194922584326,0.052310249272355946,0.052310249272355946
20,lorentzian_like_3d,1,28.334470660428167,28.430672874437843,2.306072648412193,0.09620221400967566,0.09620221400967566
20,lorentzian_like_3d,2,25.833402809792876,25.8007900644132,2.0015828484468066,0.03261274537967651,-0.03261274537967651
20,lorentzian_like_3d,3,31.535365873924075,31.614550442323903,2.506677930581365,0.07918456839982824,0.07918456839982824
20,lorentzian_like_4d,0,30.783530385878127,30.804820936465514,1.7609075689649378,0.021290550587387713,0.021290550587387713
20,lorentzian_like_4d,1,35.26806933196399,35.26686429138817,2.6574604523777947,0.001205040575825933,-0.001205040575825933
20,lorentzian_like_4d,2,31.140540807343736,31.27649890389832,2.212847789682406,0.13595809655458524,0.13595809655458524
20,lorentzian_like_4d,3,34.9846245264118,34.98925426207552,2.334143693420305,0.004629735663719714,0.004629735663719714
24,KR_like,0,35.580982029440406,35.56959509499994,2.5267130325438694,0.011386934440466234,-0.011386934440466234
24,KR_like,1,35.66882292641681,35.7329514852844,2.699497147859619,0.06412855886759417,0.06412855886759417
24,KR_like,2,35.228902471491146,35.21770795557276,2.5795831347426432,0.011194515918383274,-0.011194515918383274
24,KR_like,3,35.8816110252968,35.94357489647544,2.5857467913058674,0.06196387117864077,0.06196387117864077
24,lorentzian_like_3d,0,35.413973052605314,35.51603446851895,2.6547222889949893,0.1020614159136386,0.1020614159136386
24,lorentzian_like_3d,1,39.64325056584904,39.492140083275174,2.5829470036704887,0.15111048257386273,-0.15111048257386273
24,lorentzian_like_3d,2,36.327337023534774,36.245934746679936,3.6019471533494736,0.08140227685483836,-0.08140227685483836
24,lorentzian_like_3d,3,34.80359583457291,34.93148676724742,2.4627171481074974,0.1278909326745108,0.1278909326745108
24,lorentzian_like_4d,0,41.95860562263995,41.99113664178023,2.519405937287996,0.03253101914027923,0.03253101914027923
24,lorentzian_like_4d,1,45.3108859344271,45.50798312110906,2.32281771380443,0.1970971866819653,0.1970971866819653
24,lorentzian_like_4d,2,41.77696398599304,41.795793158995096,3.3712162185922945,0.01882917300205378,0.01882917300205378
24,lorentzian_like_4d,3,40.830543854926724,40.81447596968829,2.3909325224320757,0.016067885238435053,-0.016067885238435053
28,KR_like,0,45.41835606489382,45.58485558343838,3.0673412681146464,0.1664995185445619,0.1664995185445619
28,KR_like,1,44.16552174156853,44.15476467949391,2.9571615922562393,0.010757062074624457,-0.010757062074624457
28,KR_like,2,45.016240370033984,45.01150428036787,3.0719424115442884,0.004736089666110388,-0.004736089666110388
28,KR_like,3,44.50143940619096,44.44358898899398,2.923991935964362,0.05785041719698114,-0.05785041719698114
28,lorentzian_like_3d,0,48.10498833866274,48.25293356111272,3.297266589643997,0.14794522244997665,0.14794522244997665
28,lorentzian_like_3d,1,45.63138550163057,45.67077678756196,3.0927195607026583,0.03939128593139429,0.03939128593139429
28,lorentzian_like_3d,2,45.24709662439682,45.16895312001933,3.2114682992998755,0.0781435043774863,-0.0781435043774863
28,lorentzian_like_3d,3,46.463689482899866,46.47792949402584,2.8785698432144007,0.014240011125970398,0.014240011125970398
28,lorentzian_like_4d,0,53.92792273042185,54.00880898536667,2.9836424748123114,0.08088625494482216,0.08088625494482216
28,lorentzian_like_4d,1,49.48875930042158,49.177713755986105,3.2861760848441115,0.3110455444354727,-0.3110455444354727
28,lorentzian_like_4d,2,52.94729745830622,52.91700685805594,2.925670099832426,0.03029060025027519,-0.03029060025027519
28,lorentzian_like_4d,3,52.40485622119696,52.496589344162125,2.77232283714574,0.09173312296516656,0.09173312296516656
32,KR_like,0,54.463674856498706,54.3860703534465,3.545105809297629,0.07760450305220701,-0.07760450305220701
32,KR_like,1,54.65910726471657,54.549977675269126,3.4990756897440427,0.10912958944744133,-0.10912958944744133
32,KR_like,2,53.8450956034249,53.781908437758354,3.264554497896341,0.06318716566654814,-0.06318716566654814
32,KR_like,3,54.58994339865327,54.61812128895239,3.4670378852022457,0.028177890299119213,0.028177890299119213
32,lorentzian_like_3d,0,58.42043053867155,58.41257844574523,2.875146110092783,0.007852092926320609,-0.007852092926320609
32,lorentzian_like_3d,1,56.14868756373539,56.18369820168108,3.536579708510403,0.03501063794568893,0.03501063794568893
32,lorentzian_like_3d,2,54.59931536981898,54.50582091681592,3.2812463223132395,0.09349445300306058,-0.09349445300306058
32,lorentzian_like_3d,3,56.96188283661304,57.036522905910026,3.58338370792815,0.07464006929698286,0.07464006929698286
32,lorentzian_like_4d,0,64.8516375011754,64.86614949026618,3.0280338699773512,0.014511989090777888,0.014511989090777888
32,lorentzian_like_4d,1,60.82108827116247,60.9649782973606,3.314285018871598,0.14389002619812885,0.14389002619812885
32,lorentzian_like_4d,2,63.54756118533897,63.52990685948805,3.150294746256281,0.01765432585091986,-0.01765432585091986
32,lorentzian_like_4d,3,63.46704609653043,63.53730850625142,3.5371615863154844,0.07026240972098918,0.07026240972098918
36,KR_like,0,64.64504365413678,64.75009082722482,3.8600412153084194,0.1050471730880389,0.1050471730880389
36,KR_like,1,64.19327176691466,64.2644866359492,3.916372870866635,0.07121486903453444,0.07121486903453444
36,KR_like,2,64.89788514066024,64.95358598068027,3.915087779670943,0.05570084002003739,0.05570084002003739
36,KR_like,3,65.12430959972731,65.4310485904267,3.98108855251063,0.3067389906993867,0.3067389906993867
36,lorentzian_like_3d,0,63.10419245340031,63.42386902918444,4.21283556069072,0.3196765757841291,0.3196765757841291
36,lorentzian_like_3d,1,66.82080007220021,66.72062733078911,3.6601931596141313,0.10017274141110022,-0.10017274141110022
36,lorentzian_like_3d,2,66.42707934568817,66.22336180521498,3.9179764152984746,0.20371754047319257,-0.20371754047319257
36,lorentzian_like_3d,3,68.38467832339695,69.21980530931255,4.349288782006149,0.8351269859155934,0.8351269859155934
36,lorentzian_like_4d,0,73.11480373296385,72.97061566490596,4.07569120355697,0.1441880680578862,-0.1441880680578862
36,lorentzian_like_4d,1,75.11360189262668,75.20222187073138,3.7528582013480003,0.08861997810470257,0.08861997810470257
36,lorentzian_like_4d,2,76.35137745113137,76.28522096611917,3.5367477438157198,0.0661564850122005,-0.0661564850122005
36,lorentzian_like_4d,3,78.32860913213483,78.1238704069341,4.055125257730993,0.2047387252007269,-0.2047387252007269
