n,family,mean_abs_error,max_abs_error,mean_signed_error,mean_sis_std,count
20,KR_like,0.010949084278990995,0.031099259079105934,0.009993799541234694,2.253854423147649,4
20,lorentzian_like_4d,0.04077085584537965,0.13595809655458524,0.04016833555746668,2.2413398761113608,4
20,lorentzian_like_3d,0.06507744426538409,0.09620221400967566,0.04877107157554583,2.1927632299246995,4
24,KR_like,0.03716847010127111,0.06412855886759417,0.025877744921846357,2.5978850266129996,4
24,lorentzian_like_4d,0.06613131601568334,0.1970971866819653,0.05809737339646581,2.651093098029199,4
24,lorentzian_like_3d,0.11561627700421262,0.15111048257386273,-0.0006401027101379242,2.825583398530612,4
28,KR_like,0.059960771870569474,0.1664995185445619,0.02328898740171148,3.005109301969884,4
28,lorentzian_like_3d,0.06993000597120691,0.14794522244997665,0.030858253782463763,3.120006073215233,4
28,lorentzian_like_4d,0.12848888064893416,0.3110455444354727,-0.0421791916939398,2.991952874158647,4
32,lorentzian_like_3d,0.052749313293013245,0.09349445300306058,0.002076040328322648,3.319088962211144,4
32,lorentzian_like_4d,0.061579687715203946,0.14389002619812885,0.052752524789744015,3.2574438053551784,4
32,KR_like,0.06952478711632892,0.10912958944744133,-0.05543584196676932,3.4439434705350647,4
36,lorentzian_like_4d,0.12592581409387904,0.2047387252007269,-0.08161582504152776,3.855105601612921,4
36,KR_like,0.13467546821049936,0.3067389906993867,0.13467546821049936,3.918147604589157,4
36,lorentzian_like_3d,0.36467346089600383,0.8351269859155934,0.21272831995385744,4.035073479402369,4
