scale_label,n,gamma_c_est,status,min_delta_score,max_delta_score
1.600,48,,no_cross_left_never_wins,0.5159038064811625,26.20061588257616
1.610,48,,no_cross_left_never_wins,0.45800548236276484,26.20061588257616
1.620,48,,no_cross_left_never_wins,0.40010715824438137,26.20061588257616
1.630,48,,no_cross_left_never_wins,0.3422088341259837,26.20061588257616
1.640,48,,no_cross_left_never_wins,0.2843105100076002,26.20061588257616
1.650,48,,no_cross_left_never_wins,0.22641218588920253,26.20061588257616
1.660,48,,no_cross_left_never_wins,0.16851386177080485,26.20061588257616
1.670,48,,no_cross_left_never_wins,0.11061553765239296,26.20061588257616
1.680,48,,no_cross_left_never_wins,0.0527172135340237,26.20061588257616
1.690,48,1.9996045828649485,crossing,-0.005181110584388193,26.20061588257616
1.700,48,1.9951964539688158,crossing,-0.06307943470277166,26.20061588257616
1.710,48,1.9908077177644061,crossing,-0.12097775882116935,26.20061588257616
1.720,48,1.986438246561123,crossing,-0.17887608293958124,26.20061588257616
1.730,48,1.9820879137869527,crossing,-0.2367744070579505,26.20061588257616
1.740,48,1.9777565939762267,crossing,-0.2946727311763766,26.20061588257616
1.750,48,1.9734441627575852,crossing,-0.35257105529476007,26.20061588257616
