family,n,attempts,accepted,acceptance_rate
lorentzian_like_2d,30,21,12,0.5714285714285714
multi_layer_random,30,1708,12,0.00702576112412178
lorentzian_like_2d,40,18,12,0.6666666666666666
multi_layer_random,40,2716,12,0.004418262150220913
