scale_label,scale_factor,n,gamma,family,mean_score,std_score,mean_penalty,mean_log_H,entropy_method,count
1.740,1.74,52,0.0,KR_like,-108.69565041281906,0.3805226369416454,15.931666591396606,108.69565041281906,sis,2
1.740,1.74,52,0.0,lorentzian_like_2d,-80.0565939072913,1.3148746304708359,1.6514283159111445,80.0565939072913,exact,2
1.740,1.74,52,0.1,KR_like,-107.1024837536794,0.44652164099234004,15.931666591396606,108.69565041281906,sis,2
1.740,1.74,52,0.1,lorentzian_like_2d,-79.89145107570019,1.3263079533567494,1.6514283159111445,80.0565939072913,exact,2
1.740,1.74,52,0.2,KR_like,-105.50931709453974,0.5125206450430648,15.931666591396606,108.69565041281906,sis,2
1.740,1.74,52,0.2,lorentzian_like_2d,-79.72630824410908,1.3377412762426482,1.6514283159111445,80.0565939072913,exact,2
1.740,1.74,52,0.4,KR_like,-102.32298377626043,0.6445186531444793,15.931666591396606,108.69565041281906,sis,2
1.740,1.74,52,0.4,lorentzian_like_2d,-79.39602258092685,1.3606079220144656,1.6514283159111445,80.0565939072913,exact,2
1.740,1.74,52,0.6,KR_like,-99.13665045798109,0.7765166612458887,15.931666591396606,108.69565041281906,sis,2
1.740,1.74,52,0.6,lorentzian_like_2d,-79.06573691774462,1.3834745677862679,1.6514283159111445,80.0565939072913,exact,2
1.740,1.74,52,0.8,KR_like,-95.95031713970178,0.9085146693473031,15.931666591396606,108.69565041281906,sis,2
1.740,1.74,52,0.8,lorentzian_like_2d,-78.73545125456238,1.4063412135580702,1.6514283159111445,80.0565939072913,exact,2
1.740,1.74,52,1.0,KR_like,-92.76398382142246,1.0405126774487226,15.931666591396606,108.69565041281906,sis,2
1.740,1.74,52,1.0,lorentzian_like_2d,-78.40516559138015,1.4292078593298876,1.6514283159111445,80.0565939072913,exact,2
1.740,1.74,52,1.5,KR_like,-84.79815052572415,1.370507697702251,15.931666591396606,108.69565041281906,sis,2
1.740,1.74,52,1.5,lorentzian_like_2d,-77.5794514334246,1.486374473759431,1.6514283159111445,80.0565939072913,exact,2
1.740,1.74,52,2.0,KR_like,-76.83231723002585,1.7005027179557997,15.931666591396606,108.69565041281906,sis,2
