n,gamma,alpha,mode,lor4d_rank,top1_family,gap_to_top1,total_families
10,0.5,0.1,geo_plus_smd,14,KR_4layer,15.986611240957767,17
10,0.5,0.5,info_only,4,lorentzian_like_3d,0.5567931677019811,17
10,0.5,0.5,info_plus_smd,1,lorentzian_like_4d,0.0,17
10,0.5,0.5,smd_only,2,lorentzian_like_5d,0.2784205002962068,17
10,0.5,0.5,geo_plus_smd,9,KR_like,11.367042347858984,17
10,0.5,1.0,info_only,4,lorentzian_like_3d,0.5567931677019811,17
10,0.5,1.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
10,0.5,1.0,smd_only,1,lorentzian_like_4d,0.0,17
10,0.5,1.0,geo_plus_smd,5,KR_like,6.017938091888752,17
10,0.5,5.0,info_only,4,lorentzian_like_3d,0.5567931677019811,17
10,0.5,5.0,info_plus_smd,2,KR_2layer,0.9295018612960824,17
10,0.5,5.0,smd_only,2,KR_2layer,0.7328991629074642,17
10,0.5,5.0,geo_plus_smd,2,KR_2layer,5.718255308317351,17
10,1.0,0.0,info_only,14,multi_layer_random,2.7044961095812408,17
10,1.0,0.0,info_plus_smd,14,multi_layer_random,2.7044961095812408,17
10,1.0,0.0,smd_only,3,lorentzian_like_5d,0.8640987042209485,17
10,1.0,0.0,geo_plus_smd,15,KR_4layer,39.02040804725979,17
10,1.0,0.01,info_only,14,multi_layer_random,2.7044961095812408,17
10,1.0,0.01,info_plus_smd,13,lorentzian_like_3d,2.5982390994796267,17
10,1.0,0.01,smd_only,3,lorentzian_like_5d,0.8523851401424523,17
10,1.0,0.01,geo_plus_smd,15,KR_4layer,38.88158111946599,17
10,1.0,0.05,info_only,14,multi_layer_random,2.7044961095812408,17
10,1.0,0.05,info_plus_smd,12,lorentzian_like_3d,2.4611760841734514,17
10,1.0,0.05,smd_only,3,lorentzian_like_5d,0.8055308838284727,17
10,1.0,0.05,geo_plus_smd,15,KR_4layer,38.326273408290774,17
10,1.0,0.1,info_only,14,multi_layer_random,2.7044961095812408,17
10,1.0,0.1,info_plus_smd,9,lorentzian_like_3d,2.2898473150407312,17
10,1.0,0.1,smd_only,3,lorentzian_like_5d,0.7469630634360005,17
10,1.0,0.1,geo_plus_smd,15,KR_4layer,37.63213876932175,17
10,1.0,0.5,info_only,14,multi_layer_random,2.7044961095812408,17
10,1.0,0.5,info_plus_smd,3,lorentzian_like_3d,0.9192171619789802,17
10,1.0,0.5,smd_only,2,lorentzian_like_5d,0.2784205002962068,17
10,1.0,0.5,geo_plus_smd,14,KR_4layer,32.07906165756959,17
10,1.0,1.0,info_only,14,multi_layer_random,2.7044961095812408,17
10,1.0,1.0,info_plus_smd,2,KR_2layer,0.16751212861624643,17
10,1.0,1.0,smd_only,1,lorentzian_like_4d,0.0,17
10,1.0,1.0,geo_plus_smd,13,KR_like,26.368335962040867,17
10,1.0,5.0,info_only,14,multi_layer_random,2.7044961095812408,17
10,1.0,5.0,info_plus_smd,2,KR_2layer,1.126104559684701,17
10,1.0,5.0,smd_only,2,KR_2layer,0.7328991629074642,17
10,1.0,5.0,geo_plus_smd,3,KR_2layer,10.70361145372723,17
10,2.0,0.0,info_only,15,KR_like,8.485682839830343,17
10,2.0,0.0,info_plus_smd,15,KR_like,8.485682839830343,17
10,2.0,0.0,smd_only,3,lorentzian_like_5d,0.8640987042209485,17
10,2.0,0.0,geo_plus_smd,15,KR_4layer,82.31146310398778,17
10,2.0,0.01,info_only,15,KR_like,8.485682839830343,17
10,2.0,0.01,info_plus_smd,15,KR_like,8.37870075471094,17
10,2.0,0.01,smd_only,3,lorentzian_like_5d,0.8523851401424523,17
10,2.0,0.01,geo_plus_smd,15,KR_4layer,82.17263617619396,17
10,2.0,0.05,info_only,15,KR_like,8.485682839830343,17
10,2.0,0.05,info_plus_smd,15,KR_like,7.95077241423332,17
10,2.0,0.05,smd_only,3,lorentzian_like_5d,0.8055308838284727,17
10,2.0,0.05,geo_plus_smd,15,KR_4layer,81.61732846501874,17
10,2.0,0.1,info_only,15,KR_like,8.485682839830343,17
10,2.0,0.1,info_plus_smd,14,KR_like,7.415861988636298,17
10,2.0,0.1,smd_only,3,lorentzian_like_5d,0.7469630634360005,17
10,2.0,0.1,geo_plus_smd,15,KR_4layer,80.92319382604973,17
10,2.0,0.5,info_only,15,KR_like,8.485682839830343,17
10,2.0,0.5,info_plus_smd,5,lorentzian_like_3d,5.070640533187362,17
10,2.0,0.5,smd_only,2,lorentzian_like_5d,0.2784205002962068,17
10,2.0,0.5,geo_plus_smd,15,KR_4layer,75.37011671429755,17
10,2.0,1.0,info_only,15,KR_like,8.485682839830343,17
10,2.0,1.0,info_plus_smd,3,lorentzian_like_3d,3.3573528418601715,17
10,2.0,1.0,smd_only,1,lorentzian_like_4d,0.0,17
10,2.0,1.0,geo_plus_smd,14,KR_4layer,68.42877032460734,17
10,2.0,5.0,info_only,15,KR_like,8.485682839830343,17
10,2.0,5.0,info_plus_smd,2,KR_2layer,1.519309956461937,17
10,2.0,5.0,smd_only,2,KR_2layer,0.7328991629074642,17
10,2.0,5.0,geo_plus_smd,5,KR_like,24.276297654583246,17
20,0.0,0.0,info_only,3,lorentzian_like_5d,1.2666177518105144,17
20,0.0,0.0,info_plus_smd,3,lorentzian_like_5d,1.2666177518105144,17
20,0.0,0.0,smd_only,3,lorentzian_like_5d,1.2666177518105144,17
20,0.0,0.0,geo_plus_smd,3,lorentzian_like_5d,1.2666177518105144,17
20,0.0,0.01,info_only,3,lorentzian_like_5d,1.2666177518105144,17
20,0.0,0.01,info_plus_smd,3,lorentzian_like_5d,1.2431679072486972,17
20,0.0,0.01,smd_only,3,lorentzian_like_5d,1.2431679072486972,17
20,0.0,0.01,geo_plus_smd,3,lorentzian_like_5d,1.2431679072486972,17
20,0.0,0.05,info_only,3,lorentzian_like_5d,1.2666177518105144,17
20,0.0,0.05,info_plus_smd,2,lorentzian_like_5d,1.1493685290014355,17
20,0.0,0.05,smd_only,2,lorentzian_like_5d,1.1493685290014355,17
20,0.0,0.05,geo_plus_smd,2,lorentzian_like_5d,1.1493685290014355,17
20,0.0,0.1,info_only,3,lorentzian_like_5d,1.2666177518105144,17
20,0.0,0.1,info_plus_smd,2,lorentzian_like_5d,1.0321193061923566,17
20,0.0,0.1,smd_only,2,lorentzian_like_5d,1.0321193061923566,17
20,0.0,0.1,geo_plus_smd,2,lorentzian_like_5d,1.0321193061923566,17
20,0.0,0.5,info_only,3,lorentzian_like_5d,1.2666177518105144,17
20,0.0,0.5,info_plus_smd,2,lorentzian_like_5d,0.09412552371971827,17
20,0.0,0.5,smd_only,2,lorentzian_like_5d,0.09412552371971827,17
20,0.0,0.5,geo_plus_smd,2,lorentzian_like_5d,0.09412552371971827,17
20,0.0,1.0,info_only,3,lorentzian_like_5d,1.2666177518105144,17
20,0.0,1.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,0.0,1.0,smd_only,1,lorentzian_like_4d,0.0,17
20,0.0,1.0,geo_plus_smd,1,lorentzian_like_4d,0.0,17
20,0.0,5.0,info_only,3,lorentzian_like_5d,1.2666177518105144,17
20,0.0,5.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,0.0,5.0,smd_only,1,lorentzian_like_4d,0.0,17
20,0.0,5.0,geo_plus_smd,1,lorentzian_like_4d,0.0,17
20,0.2,0.0,info_only,2,lorentzian_like_5d,0.7151749574036472,17
20,0.2,0.0,info_plus_smd,2,lorentzian_like_5d,0.7151749574036472,17
20,0.2,0.0,smd_only,3,lorentzian_like_5d,1.2666177518105144,17
20,0.2,0.0,geo_plus_smd,3,lorentzian_like_3d,0.5297277779433784,17
20,0.2,0.01,info_only,2,lorentzian_like_5d,0.7151749574036472,17
20,0.2,0.01,info_plus_smd,2,lorentzian_like_5d,0.69172511284183,17
20,0.2,0.01,smd_only,3,lorentzian_like_5d,1.2431679072486972,17
20,0.2,0.01,geo_plus_smd,3,lorentzian_like_3d,0.4552628687354563,17
20,0.2,0.05,info_only,2,lorentzian_like_5d,0.7151749574036472,17
20,0.2,0.05,info_plus_smd,2,lorentzian_like_5d,0.5979257345945612,17
20,0.2,0.05,smd_only,2,lorentzian_like_5d,1.1493685290014355,17
20,0.2,0.05,geo_plus_smd,2,lorentzian_like_3d,0.15740323190377126,17
20,0.2,0.1,info_only,2,lorentzian_like_5d,0.7151749574036472,17
20,0.2,0.1,info_plus_smd,2,lorentzian_like_5d,0.4806765117854894,17
20,0.2,0.1,smd_only,2,lorentzian_like_5d,1.0321193061923566,17
20,0.2,0.1,geo_plus_smd,1,lorentzian_like_4d,0.0,17
20,0.2,0.5,info_only,2,lorentzian_like_5d,0.7151749574036472,17
20,0.2,0.5,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,0.2,0.5,smd_only,2,lorentzian_like_5d,0.09412552371971827,17
20,0.2,0.5,geo_plus_smd,1,lorentzian_like_4d,0.0,17
20,0.2,1.0,info_only,2,lorentzian_like_5d,0.7151749574036472,17
20,0.2,1.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,0.2,1.0,smd_only,1,lorentzian_like_4d,0.0,17
20,0.2,1.0,geo_plus_smd,1,lorentzian_like_4d,0.0,17
20,0.2,5.0,info_only,2,lorentzian_like_5d,0.7151749574036472,17
20,0.2,5.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,0.2,5.0,smd_only,1,lorentzian_like_4d,0.0,17
20,0.2,5.0,geo_plus_smd,1,lorentzian_like_4d,0.0,17
20,0.5,0.0,info_only,1,lorentzian_like_4d,0.0,17
20,0.5,0.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,0.5,0.0,smd_only,3,lorentzian_like_5d,1.2666177518105144,17
20,0.5,0.0,geo_plus_smd,15,KR_4layer,10.0317075249179,17
20,0.5,0.01,info_only,1,lorentzian_like_4d,0.0,17
20,0.5,0.01,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,0.5,0.01,smd_only,3,lorentzian_like_5d,1.2431679072486972,17
20,0.5,0.01,geo_plus_smd,15,KR_4layer,9.792268223888303,17
20,0.5,0.05,info_only,1,lorentzian_like_4d,0.0,17
20,0.5,0.05,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,0.5,0.05,smd_only,2,lorentzian_like_5d,1.1493685290014355,17
20,0.5,0.05,geo_plus_smd,13,KR_4layer,8.834511019769911,17
20,0.5,0.1,info_only,1,lorentzian_like_4d,0.0,17
20,0.5,0.1,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,0.5,0.1,smd_only,2,lorentzian_like_5d,1.0321193061923566,17
20,0.5,0.1,geo_plus_smd,12,KR_4layer,7.6373145146219255,17
20,0.5,0.5,info_only,1,lorentzian_like_4d,0.0,17
20,0.5,0.5,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,0.5,0.5,smd_only,2,lorentzian_like_5d,0.09412552371971827,17
20,0.5,0.5,geo_plus_smd,2,lorentzian_like_3d,2.8552668613511205,17
20,0.5,1.0,info_only,1,lorentzian_like_4d,0.0,17
20,0.5,1.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,0.5,1.0,smd_only,1,lorentzian_like_4d,0.0,17
20,0.5,1.0,geo_plus_smd,1,lorentzian_like_4d,0.0,17
20,0.5,5.0,info_only,1,lorentzian_like_4d,0.0,17
20,0.5,5.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,0.5,5.0,smd_only,1,lorentzian_like_4d,0.0,17
20,0.5,5.0,geo_plus_smd,1,lorentzian_like_4d,0.0,17
20,1.0,0.0,info_only,1,lorentzian_like_4d,0.0,17
20,1.0,0.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,1.0,0.0,smd_only,3,lorentzian_like_5d,1.2666177518105144,17
20,1.0,0.0,geo_plus_smd,16,KR_4layer,28.342562647810844,17
20,1.0,0.01,info_only,1,lorentzian_like_4d,0.0,17
20,1.0,0.01,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,1.0,0.01,smd_only,3,lorentzian_like_5d,1.2431679072486972,17
20,1.0,0.01,geo_plus_smd,15,KR_4layer,28.10312334678125,17
20,1.0,0.05,info_only,1,lorentzian_like_4d,0.0,17
20,1.0,0.05,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,1.0,0.05,smd_only,2,lorentzian_like_5d,1.1493685290014355,17
20,1.0,0.05,geo_plus_smd,15,KR_4layer,27.14536614266286,17
20,1.0,0.1,info_only,1,lorentzian_like_4d,0.0,17
20,1.0,0.1,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,1.0,0.1,smd_only,2,lorentzian_like_5d,1.0321193061923566,17
20,1.0,0.1,geo_plus_smd,14,KR_4layer,25.948169637514873,17
20,1.0,0.5,info_only,1,lorentzian_like_4d,0.0,17
20,1.0,0.5,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,1.0,0.5,smd_only,2,lorentzian_like_5d,0.09412552371971827,17
20,1.0,0.5,geo_plus_smd,9,KR_4layer,16.370597596330978,17
20,1.0,1.0,info_only,1,lorentzian_like_4d,0.0,17
20,1.0,1.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,1.0,1.0,smd_only,1,lorentzian_like_4d,0.0,17
20,1.0,1.0,geo_plus_smd,4,lorentzian_like_3d,9.213328973961431,17
20,1.0,5.0,info_only,1,lorentzian_like_4d,0.0,17
20,1.0,5.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,1.0,5.0,smd_only,1,lorentzian_like_4d,0.0,17
20,1.0,5.0,geo_plus_smd,1,lorentzian_like_4d,0.0,17
20,2.0,0.0,info_only,3,lorentzian_like_3d,1.0367067175070304,17
20,2.0,0.0,info_plus_smd,3,lorentzian_like_3d,1.0367067175070304,17
20,2.0,0.0,smd_only,3,lorentzian_like_5d,1.2666177518105144,17
20,2.0,0.0,geo_plus_smd,16,lorentzian_like_2d,66.74744812280804,17
20,2.0,0.01,info_only,3,lorentzian_like_3d,1.0367067175070304,17
