n,kappa,family,d_eff,c1_c0,width_ratio,score_flat_ref,score_adapt_ref,rank_flat_ref,rank_adapt_ref
256,1.0,Lor4D,3.9409698529411763,0.35210625857828315,0.2568359375,5.0630285530296195,364.2718470669266,1,2
256,1.0,FLRW_kappa,4.494324632352941,0.2468314180239104,0.3408203125,99.3670483279642,4.17714865389828,2,1
256,1.0,Lor3D,3.3050323529411765,0.5175041094323375,0.1455078125,166.62138636617132,1281.2221669620728,3,3
256,1.0,KR_like,1.240694117647059,0.0,0.5,1498.9894864049634,50802.90586647409,4,4
512,1.0,Lor4D,3.9481325403620353,0.38090673615388726,0.205078125,2.1921324114472895,329.6782346287217,1,2
512,1.0,FLRW_kappa,4.498523929794521,0.32760706496171965,0.2802734375,429.29399001503646,0.19265869417433523,2,1
512,1.0,Lor3D,3.237565790117417,0.5443823375043013,0.11962890625,822.8561469028962,1660.8059694056485,3,3
512,1.0,KR_like,1.2480614481409005,0.0,0.5,14307.892406772347,17218.250165809644,4,4
1024,1.0,Lor4D,3.92850644244868,0.4029178256488858,0.1708984375,0.7632961775282286,1939.887322639545,1,2
1024,1.0,FLRW_kappa,4.4914331515762465,0.3623952692704712,0.23486328125,440.7507474283239,0.6334827730270229,2,1
1024,1.0,Lor3D,3.2619753299120235,0.5663525203334308,0.089111328125,1540.4516554902148,9574.999531759278,3,3
1024,1.0,KR_like,1.25173431085044,0.0,0.5,10995.09867365536,73175.73870112296,4,4
