family,n,gamma,log_H_mean,log_H_std,geo_penalty_mean,score_A3_mean,score_A3_std
KR_2layer,10,0.0,12.094243199742646,0.3019788043091325,37.42031908103988,-12.094243199742646,0.3019788043091325
KR_2layer,10,0.2,12.094243199742646,0.3019788043091325,37.42031908103988,-4.610179383534669,1.0418306974057847
KR_2layer,10,0.4,12.094243199742646,0.3019788043091325,37.42031908103988,2.8738844326733064,2.345811726616835
KR_2layer,10,0.8,12.094243199742646,0.3019788043091325,37.42031908103988,17.842012065089257,4.96057253940491
KR_2layer,10,1.6,12.094243199742646,0.3019788043091325,37.42031908103988,47.778267329921164,10.1928696574164
KR_2layer,12,0.0,15.527867439779973,0.2726597627359967,33.74507115646382,-15.527867439779973,0.2726597627359967
KR_2layer,12,0.2,15.527867439779973,0.2726597627359967,33.74507115646382,-8.778853208487208,0.8331703002257367
KR_2layer,12,0.4,15.527867439779973,0.2726597627359967,33.74507115646382,-2.029838977194443,1.9231691436545126
KR_2layer,12,0.8,15.527867439779973,0.2726597627359967,33.74507115646382,11.468189485391088,4.106230068548129
KR_2layer,12,1.6,15.527867439779973,0.2726597627359967,33.74507115646382,38.46424641056215,8.473555679459466
KR_2layer,14,0.0,20.392980156842192,0.3360073804516119,41.83531282825833,-20.392980156842192,0.3360073804516119
KR_2layer,14,0.2,20.392980156842192,0.3360073804516119,41.83531282825833,-12.025917591190524,0.7857090878321554
KR_2layer,14,0.4,20.392980156842192,0.3360073804516119,41.83531282825833,-3.6588550255388577,1.6648019818070516
KR_2layer,14,0.8,20.392980156842192,0.3360073804516119,41.83531282825833,13.075270105764474,3.468340603993454
KR_2layer,14,1.6,20.392980156842192,0.3360073804516119,41.83531282825833,46.54352036837114,7.095244678091266
KR_2layer,16,0.0,24.37177768190228,0.26221457897154327,39.649400099828576,-24.37177768190228,0.26221457897154327
KR_2layer,16,0.2,24.37177768190228,0.26221457897154327,39.649400099828576,-16.441897661936565,0.5353047175291795
KR_2layer,16,0.4,24.37177768190228,0.26221457897154327,39.649400099828576,-8.51201764197085,1.2961170924394556
KR_2layer,16,0.8,24.37177768190228,0.26221457897154327,39.649400099828576,7.34774239796058,2.827256167255802
KR_2layer,16,1.6,24.37177768190228,0.26221457897154327,39.649400099828576,39.06726247782344,5.892977000589923
KR_2layer,18,0.0,29.50344688909273,0.20711894291794355,41.891969127918344,-29.50344688909273,0.20711894291794355
KR_2layer,18,0.2,29.50344688909273,0.20711894291794355,41.891969127918344,-21.12505306350906,0.5275489467953567
KR_2layer,18,0.4,29.50344688909273,0.20711894291794355,41.891969127918344,-12.746659237925392,1.1941890105871877
KR_2layer,18,0.8,29.50344688909273,0.20711894291794355,41.891969127918344,4.0101284132419455,2.541408270520592
KR_2layer,18,1.6,29.50344688909273,0.20711894291794355,41.891969127918344,37.52370371557662,5.241424578329014
KR_2layer,20,0.0,33.98946497016708,0.21004161540267788,41.03395475467368,-33.98946497016708,0.21004161540267788
KR_2layer,20,0.2,33.98946497016708,0.21004161540267788,41.03395475467368,-25.782674019232342,0.7264668224239725
KR_2layer,20,0.4,33.98946497016708,0.21004161540267788,41.03395475467368,-17.575883068297607,1.5880793898826973
KR_2layer,20,0.8,33.98946497016708,0.21004161540267788,41.03395475467368,-1.1623011664281329,3.3229951819648855
KR_2layer,20,1.6,33.98946497016708,0.21004161540267788,41.03395475467368,31.66486263731081,6.797805905453051
KR_4layer,10,0.0,9.36445174261682,1.199820155202103,10.867778435499693,-9.36445174261682,1.199820155202103
KR_4layer,10,0.2,9.36445174261682,1.199820155202103,10.867778435499693,-7.190896055516882,1.1674139995616142
