family,n,sample,gamma,log_H,neutral_penalty,geometric_penalty,score_A2,score_A3
KR_like,10,0,0.0,9.028218795184895,0.05071111111111112,3.8852112790030184,-9.028218795184895,-9.028218795184895
KR_like,10,0,0.2,9.028218795184895,0.05071111111111112,3.8852112790030184,-8.241034317162068,-8.251176539384291
KR_like,10,0,0.4,9.028218795184895,0.05071111111111112,3.8852112790030184,-7.4538498391392425,-7.4741342835836875
KR_like,10,0,0.8,9.028218795184895,0.05071111111111112,3.8852112790030184,-5.87948088309359,-5.92004977198248
KR_like,10,0,1.6,9.028218795184895,0.05071111111111112,3.8852112790030184,-2.730742971002287,-2.811880748780065
KR_like,10,1,0.0,9.398478314091577,0.03861111111111112,8.604803377768455,-9.398478314091577,-9.398478314091577
KR_like,10,1,0.2,9.398478314091577,0.03861111111111112,8.604803377768455,-7.669795416315663,-7.677517638537886
KR_like,10,1,0.4,9.398478314091577,0.03861111111111112,8.604803377768455,-5.94111251853975,-5.956556962984195
KR_like,10,1,0.8,9.398478314091577,0.03861111111111112,8.604803377768455,-2.4837467229879238,-2.5146356118768125
KR_like,10,1,1.6,9.398478314091577,0.03861111111111112,8.604803377768455,4.430984868115729,4.369207090337952
KR_like,10,2,0.0,8.185350223178686,0.062211111111111106,1.3077643747578782,-8.185350223178686,-8.185350223178686
KR_like,10,2,0.2,8.185350223178686,0.062211111111111106,1.3077643747578782,-7.911355126004888,-7.92379734822711
KR_like,10,2,0.4,8.185350223178686,0.062211111111111106,1.3077643747578782,-7.6373600288310906,-7.662244473275535
KR_like,10,2,0.8,8.185350223178686,0.062211111111111106,1.3077643747578782,-7.089369834483494,-7.139138723372383
KR_like,10,2,1.6,8.185350223178686,0.062211111111111106,1.3077643747578782,-5.993389445788303,-6.092927223566081
KR_like,10,3,0.0,8.850804195756417,0.05201111111111112,2.878780092655082,-8.850804195756417,-8.850804195756417
KR_like,10,3,0.2,8.850804195756417,0.05201111111111112,2.878780092655082,-8.264645955003179,-8.2750481772254
KR_like,10,3,0.4,8.850804195756417,0.05201111111111112,2.878780092655082,-7.67848771424994,-7.6992921586943845
KR_like,10,3,0.8,8.850804195756417,0.05201111111111112,2.878780092655082,-6.506171232743462,-6.547780121632352
KR_like,10,3,1.6,8.850804195756417,0.05201111111111112,2.878780092655082,-4.1615382697305074,-4.244756047508286
KR_like,10,4,0.0,8.955448122347393,0.051711111111111124,3.4736063407314135,-8.955448122347393,-8.955448122347393
KR_like,10,4,0.2,8.955448122347393,0.051711111111111124,3.4736063407314135,-8.25038463197889,-8.26072685420111
KR_like,10,4,0.4,8.955448122347393,0.051711111111111124,3.4736063407314135,-7.545321141610383,-7.566005586054827
KR_like,10,4,0.8,8.955448122347393,0.051711111111111124,3.4736063407314135,-6.1351941608733735,-6.176563049762262
KR_like,10,4,1.6,8.955448122347393,0.051711111111111124,3.4736063407314135,-3.314940199399354,-3.397677977177131
KR_like,10,5,0.0,8.271292652979412,0.12267777777777777,3.3680438137510107,-8.271292652979412,-8.271292652979412
KR_like,10,5,0.2,8.271292652979412,0.12267777777777777,3.3680438137510107,-7.573148334673654,-7.597683890229209
KR_like,10,5,0.4,8.271292652979412,0.12267777777777777,3.3680438137510107,-6.875004016367896,-6.924075127479007
KR_like,10,5,0.8,8.271292652979412,0.12267777777777777,3.3680438137510107,-5.47871537975638,-5.5768576019786025
KR_like,10,5,1.6,8.271292652979412,0.12267777777777777,3.3680438137510107,-2.68613810653335,-2.882422550977794
KR_like,10,6,0.0,8.958154135209242,0.041211111111111115,5.719748768002974,-8.958154135209242,-8.958154135209242
KR_like,10,6,0.2,8.958154135209242,0.041211111111111115,5.719748768002974,-7.805962159386424,-7.814204381608647
KR_like,10,6,0.4,8.958154135209242,0.041211111111111115,5.719748768002974,-6.653770183563607,-6.670254628008052
KR_like,10,6,0.8,8.958154135209242,0.041211111111111115,5.719748768002974,-4.349386231917973,-4.382355120806862
KR_like,10,6,1.6,8.958154135209242,0.041211111111111115,5.719748768002974,0.25938167137329593,0.19344389359551784
KR_like,10,7,0.0,8.740336742730447,0.10887777777777777,6.193870239641626,-8.740336742730447,-8.740336742730447
KR_like,10,7,0.2,8.740336742730447,0.10887777777777777,6.193870239641626,-7.479787139246566,-7.5015626948021215
KR_like,10,7,0.4,8.740336742730447,0.10887777777777777,6.193870239641626,-6.2192375357626855,-6.262788646873796
KR_like,10,7,0.8,8.740336742730447,0.10887777777777777,6.193870239641626,-3.698138328794924,-3.7852405510171456
KR_like,10,7,1.6,8.740336742730447,0.10887777777777777,6.193870239641626,1.3440600851405993,1.1698556406961558
KR_like,12,0,0.0,12.46452156271168,0.10180362654320987,10.285957947923473,-12.46452156271168,-12.46452156271168
KR_like,12,0,0.2,12.46452156271168,0.10180362654320987,10.285957947923473,-10.386969247818342,-10.407329973126984
KR_like,12,0,0.4,12.46452156271168,0.10180362654320987,10.285957947923473,-8.309416932925007,-8.35013838354229
KR_like,12,0,0.8,12.46452156271168,0.10180362654320987,10.285957947923473,-4.154312303138333,-4.2357552043729
KR_like,12,0,1.6,12.46452156271168,0.10180362654320987,10.285957947923473,4.155896956435013,3.9930111539658792
KR_like,12,1,0.0,11.875455235910731,0.06708140432098766,2.16587797596441,-11.875455235910731,-11.875455235910731
KR_like,12,1,0.2,11.875455235910731,0.06708140432098766,2.16587797596441,-11.428863359853652,-11.44227964071785
KR_like,12,1,0.4,11.875455235910731,0.06708140432098766,2.16587797596441,-10.982271483796573,-11.009104045524968
KR_like,12,1,0.8,11.875455235910731,0.06708140432098766,2.16587797596441,-10.089087731682413,-10.142752855139204
KR_like,12,1,1.6,11.875455235910731,0.06708140432098766,2.16587797596441,-8.302720227454095,-8.410050474367676
KR_like,12,2,0.0,11.6839164054218,0.10778356481481483,4.132298313153319,-11.6839164054218,-11.6839164054218
KR_like,12,2,0.2,11.6839164054218,0.10778356481481483,4.132298313153319,-10.835900029828172,-10.857456742791136
KR_like,12,2,0.4,11.6839164054218,0.10778356481481483,4.132298313153319,-9.987883654234546,-10.030997080160471
KR_like,12,2,0.8,11.6839164054218,0.10778356481481483,4.132298313153319,-8.291850903047292,-8.378077754899143
KR_like,12,2,1.6,11.6839164054218,0.10778356481481483,4.132298313153319,-4.899785400672785,-5.0722391043764885
KR_like,12,3,0.0,12.335046166822204,0.10469714506172839,5.589168968075154,-12.335046166822204,-12.335046166822204
KR_like,12,3,0.2,12.335046166822204,0.10469714506172839,5.589168968075154,-11.196272944194828,-11.217212373207174
