family,n,seed,log_H,antichain_width,comparable_fraction,penalty_neutral,penalty_geometric,score_A1_gamma,score_A2_gamma,geo_width_height,geo_dim_proxy_penalty,geo_dim_eff,geo_dim_consistency,geo_dim_consistency_global_d_eff,geo_dim_consistency_local_mean_d_eff,geo_dim_consistency_local_var_d_eff,geo_dim_consistency_local_count,geo_dim_multi_consistency,geo_dim_multi_consistency_var,geo_d_order,geo_d_chain,geo_d_width,geo_comparability_window,geo_cover_density,geo_interval_profile,geo_interval_shape,geo_layer_smoothness,geo_total,cg_mean_self_drift,cg_family_switch_rate,cg_mean_penalty
lorentzian_like_2d,52,1580000,78.0284822133413,9,0.5301659125188537,0.05589237208073715,0.7934209752475255,-77.98376831567671,-77.3490315354787,0.2042905520850268,0.03083377088020309,1.8244045248868779,0.5376722642888717,1.8244045248868779,1.700769489781927,0.5223866423834693,35.0,0.5550664135347372,0.5397807916293348,1.8244045248868779,1.6477966170600444,1.9703673137607505,0.022549801282620022,0.0,0.0,0.00014518518518518526,0.0010724852071005916,0.7934209752475255,0.005891769337459068,0.0,0.058917693374590685
lorentzian_like_2d,52,1580001,79.0828319757983,9,0.4494720965309201,0.040577513917579924,0.8929671792276308,-79.05036996466424,-78.33599622128213,0.04979304449311734,0.09521385318810023,2.3085674208144797,1.3290572821992541,2.3085674208144797,1.527849449475256,0.719536731427221,31.0,1.3897417125558813,0.7802211617838481,2.3085674208144797,1.716003343634799,2.110930186608689,0.0048263721964014765,0.0,0.0,0.0,0.001356015779092702,0.8929671792276308,0.005444892635782974,0.0,0.054448926357829726
lorentzian_like_2d,52,1580002,78.83436836347485,10,0.4675716440422323,0.04104526277091138,0.88903557597487,-78.80153215325812,-78.09030369247823,0.2609428178959135,0.03998805519051618,2.1999701357466064,0.9467570042686,2.1999701357466064,1.8039992034632037,0.7899640250552129,25.0,0.9894505987733084,0.8326576195599213,2.1999701357466064,1.716003343634799,1.829716387032956,0.007668792840259436,0.0,0.0,0.0,0.0006163708086785011,0.88903557597487,0.005683564466031479,0.3333333333333333,0.5568356446603148
multi_layer_random,52,1585157,90.71733317702993,11,0.5407239819004525,0.05597173046286896,1.9141219918747308,-90.67255579265964,-89.14125819915985,0.6216650091125928,0.0570941832386723,1.7610561085972853,2.784856019894807,1.7610561085972853,3.3346984934928674,0.3085056643549517,23.0,2.9073007846049523,0.4309504290650969,1.7610561085972853,2.4550457573138686,2.543694384417123,0.025832198357936965,0.0,0.0,0.0115871700273847,0.0005547337278106509,1.9141219918747308,0.004554113122288978,1.0,1.5455411312228897
