scale_label,n,gamma_c_est,status,min_delta_score,max_delta_score
1.000,48,,no_cross_left_never_wins,3.989803253584867,26.20061588257616
1.100,48,,no_cross_left_never_wins,3.4108200124009045,26.20061588257616
1.200,48,,no_cross_left_never_wins,2.831836771216956,26.20061588257616
1.300,48,,no_cross_left_never_wins,2.2528535300330077,26.20061588257616
1.400,48,,no_cross_left_never_wins,1.6738702888490735,26.20061588257616
1.500,48,,no_cross_left_never_wins,1.094887047665111,26.20061588257616
1.600,48,,no_cross_left_never_wins,0.5159038064811625,26.20061588257616
1.700,48,1.9951964539688158,crossing,-0.06307943470277166,26.20061588257616
1.800,48,1.9521610576613408,crossing,-0.6420626758867343,26.20061588257616
1.900,48,1.9109429672065756,crossing,-1.2210459170706685,26.20061588257616
2.000,48,1.8714294505980273,crossing,-1.8000291582546168,26.20061588257616
2.100,48,1.833516910999455,crossing,-2.3790123994385795,26.20061588257616
2.200,48,1.7971099797897354,crossing,-2.9579956406225136,26.20061588257616
2.300,48,1.7621207155568086,crossing,-3.536978881806469,26.20061588257616
2.400,48,1.7284678948768781,crossing,-4.11596212299041,26.20061588257616
2.500,48,1.6960763828384473,crossing,-4.694945364174366,26.20061588257616
2.600,48,1.6648765730426989,crossing,-5.273928605358321,26.20061588257616
2.700,48,1.6348038882955593,crossing,-5.852911846542256,26.20061588257616
2.800,48,1.6057983344536595,crossing,-6.431895087726218,26.20061588257616
2.900,48,1.5778041009377157,crossing,-7.010878328910167,26.20061588257616
3.000,48,1.5507692023159427,crossing,-7.589861570094108,26.20061588257616
