scale_label,scale_factor,n,gamma,family,mean_score,std_score,mean_penalty,mean_log_H,count
1.000,1.0,48,0.0,KR_like,-97.00715410052504,0.10939944281541335,12.462315243100399,97.00715410052504,2
1.000,1.0,48,0.0,lorentzian_like_2d,-70.80653821794888,3.8647624003242482,1.3569089286047422,70.80653821794888,2
1.000,1.0,48,0.1,KR_like,-95.76092257621501,0.12867787784608958,12.462315243100399,97.00715410052504,2
1.000,1.0,48,0.1,lorentzian_like_2d,-70.6708473250884,3.9283775683487128,1.3569089286047422,70.80653821794888,2
1.000,1.0,48,0.2,KR_like,-94.51469105190498,0.14795631287674574,12.462315243100399,97.00715410052504,2
1.000,1.0,48,0.2,lorentzian_like_2d,-70.53515643222792,3.9919927363731973,1.3569089286047422,70.80653821794888,2
1.000,1.0,48,0.4,KR_like,-92.0222280032849,0.18651318293810326,12.462315243100399,97.00715410052504,2
1.000,1.0,48,0.4,lorentzian_like_2d,-70.26377464650699,4.119223072422106,1.3569089286047422,70.80653821794888,2
1.000,1.0,48,0.6,KR_like,-89.52976495466481,0.2250700529994457,12.462315243100399,97.00715410052504,2
1.000,1.0,48,0.6,lorentzian_like_2d,-69.99239286078603,4.246453408471055,1.3569089286047422,70.80653821794888,2
1.000,1.0,48,0.8,KR_like,-87.03730190604473,0.26362692306078817,12.462315243100399,97.00715410052504,2
1.000,1.0,48,0.8,lorentzian_like_2d,-69.72101107506508,4.37368374451998,1.3569089286047422,70.80653821794888,2
1.000,1.0,48,1.0,KR_like,-84.54483885742465,0.3021837931221507,12.462315243100399,97.00715410052504,2
1.000,1.0,48,1.0,lorentzian_like_2d,-69.44962928934413,4.5009140805689185,1.3569089286047422,70.80653821794888,2
1.000,1.0,48,1.5,KR_like,-78.31368123587444,0.3985759682755219,12.462315243100399,97.00715410052504,2
1.000,1.0,48,1.5,lorentzian_like_2d,-68.77117482504177,4.818989920691247,1.3569089286047422,70.80653821794888,2
1.000,1.0,48,2.0,KR_like,-72.08252361432426,0.49496814342886797,12.462315243100399,97.00715410052504,2
1.000,1.0,48,2.0,lorentzian_like_2d,-68.09272036073939,5.137065760813575,1.3569089286047422,70.80653821794888,2
1.100,1.1,48,0.0,KR_like,-97.00715410052504,0.10939944281541335,12.833099093490972,97.00715410052504,2
1.100,1.1,48,0.0,lorentzian_like_2d,-70.80653821794888,3.8647624003242482,1.4382011584033405,70.80653821794888,2
1.100,1.1,48,0.1,KR_like,-95.72384419117594,0.1305927418681206,12.833099093490972,97.00715410052504,2
1.100,1.1,48,0.1,lorentzian_like_2d,-70.66271810210854,3.9281493754625716,1.4382011584033405,70.80653821794888,2
1.100,1.1,48,0.2,KR_like,-94.44053428182686,0.15178604092083287,12.833099093490972,97.00715410052504,2
1.100,1.1,48,0.2,lorentzian_like_2d,-70.5188979862682,3.991536350600895,1.4382011584033405,70.80653821794888,2
1.100,1.1,48,0.4,KR_like,-91.87391446312867,0.19417263902625242,12.833099093490972,97.00715410052504,2
1.100,1.1,48,0.4,lorentzian_like_2d,-70.23125775458755,4.118310300877521,1.4382011584033405,70.80653821794888,2
1.100,1.1,48,0.6,KR_like,-89.30729464443047,0.23655923713168198,12.833099093490972,97.00715410052504,2
1.100,1.1,48,0.6,lorentzian_like_2d,-69.94361752290686,4.245084251154169,1.4382011584033405,70.80653821794888,2
1.100,1.1,48,0.8,KR_like,-86.74067482573227,0.2789458352371166,12.833099093490972,97.00715410052504,2
1.100,1.1,48,0.8,lorentzian_like_2d,-69.65597729122621,4.37185820143081,1.4382011584033405,70.80653821794888,2
1.100,1.1,48,1.0,KR_like,-84.17405500703407,0.3213324333425462,12.833099093490972,97.00715410052504,2
1.100,1.1,48,1.0,lorentzian_like_2d,-69.36833705954554,4.498632151707447,1.4382011584033405,70.80653821794888,2
1.100,1.1,48,1.5,KR_like,-77.7575054602886,0.4272989286060925,12.833099093490972,97.00715410052504,2
1.100,1.1,48,1.5,lorentzian_like_2d,-68.64923648034386,4.815567027399044,1.4382011584033405,70.80653821794888,2
1.100,1.1,48,2.0,KR_like,-71.3409559135431,0.533265423869679,12.833099093490972,97.00715410052504,2
1.100,1.1,48,2.0,lorentzian_like_2d,-67.9301359011422,5.13250190309063,1.4382011584033405,70.80653821794888,2
1.200,1.2,48,0.0,KR_like,-97.00715410052504,0.10939944281541335,13.203882943881542,97.00715410052504,2
1.200,1.2,48,0.0,lorentzian_like_2d,-70.80653821794888,3.8647624003242482,1.5194933882019384,70.80653821794888,2
1.200,1.2,48,0.1,KR_like,-95.68676580613689,0.13250760589016167,13.203882943881542,97.00715410052504,2
1.200,1.2,48,0.1,lorentzian_like_2d,-70.65458887912868,3.9279211825764304,1.5194933882019384,70.80653821794888,2
1.200,1.2,48,0.2,KR_like,-94.36637751174874,0.15561576896492,13.203882943881542,97.00715410052504,2
1.200,1.2,48,0.2,lorentzian_like_2d,-70.5026395403085,3.9910799648285975,1.5194933882019384,70.80653821794888,2
1.200,1.2,48,0.4,KR_like,-91.72560092297243,0.20183209511441158,13.203882943881542,97.00715410052504,2
1.200,1.2,48,0.4,lorentzian_like_2d,-70.1987408626681,4.117397529332937,1.5194933882019384,70.80653821794888,2
1.200,1.2,48,0.6,KR_like,-89.08482433419613,0.2480484212639233,13.203882943881542,97.00715410052504,2
1.200,1.2,48,0.6,lorentzian_like_2d,-69.89484218502771,4.243715093837286,1.5194933882019384,70.80653821794888,2
1.200,1.2,48,0.8,KR_like,-86.44404774541982,0.29426474741342995,13.203882943881542,97.00715410052504,2
1.200,1.2,48,0.8,lorentzian_like_2d,-69.59094350738732,4.370032658341636,1.5194933882019384,70.80653821794888,2
1.200,1.2,48,1.0,KR_like,-83.8032711566435,0.3404810735629316,13.203882943881542,97.00715410052504,2
1.200,1.2,48,1.0,lorentzian_like_2d,-69.28704482974693,4.496350222845974,1.5194933882019384,70.80653821794888,2
1.200,1.2,48,1.5,KR_like,-77.20132968470273,0.45602188893670326,13.203882943881542,97.00715410052504,2
1.200,1.2,48,1.5,lorentzian_like_2d,-68.52729813564596,4.812144134106845,1.5194933882019384,70.80653821794888,2
1.200,1.2,48,2.0,KR_like,-70.59938821276197,0.5715627043104649,13.203882943881542,97.00715410052504,2
1.200,1.2,48,2.0,lorentzian_like_2d,-67.76755144154501,5.127938045367691,1.5194933882019384,70.80653821794888,2
1.300,1.3,48,0.0,KR_like,-97.00715410052504,0.10939944281541335,13.574666794272115,97.00715410052504,2
1.300,1.3,48,0.0,lorentzian_like_2d,-70.80653821794888,3.8647624003242482,1.6007856180005366,70.80653821794888,2
1.300,1.3,48,0.1,KR_like,-95.64968742109784,0.13442246991219767,13.574666794272115,97.00715410052504,2
1.300,1.3,48,0.1,lorentzian_like_2d,-70.64645965614883,3.927692989690274,1.6007856180005366,70.80653821794888,2
1.300,1.3,48,0.2,KR_like,-94.29222074167063,0.15944549700898203,13.574666794272115,97.00715410052504,2
1.300,1.3,48,0.2,lorentzian_like_2d,-70.48638109434876,3.99062357905631,1.6007856180005366,70.80653821794888,2
1.300,1.3,48,0.4,KR_like,-91.5772873828162,0.2094915512025909,13.574666794272115,97.00715410052504,2
1.300,1.3,48,0.4,lorentzian_like_2d,-70.16622397074866,4.1164847577883465,1.6007856180005366,70.80653821794888,2
1.300,1.3,48,0.6,KR_like,-88.86235402396179,0.25953760539615955,13.574666794272115,97.00715410052504,2
1.300,1.3,48,0.6,lorentzian_like_2d,-69.84606684714856,4.242345936520404,1.6007856180005366,70.80653821794888,2
1.300,1.3,48,0.8,KR_like,-86.14742066510735,0.3095836595897483,13.574666794272115,97.00715410052504,2
1.300,1.3,48,0.8,lorentzian_like_2d,-69.52590972354844,4.368207115252465,1.6007856180005366,70.80653821794888,2
1.300,1.3,48,1.0,KR_like,-83.43248730625294,0.3596297137833321,13.574666794272115,97.00715410052504,2
1.300,1.3,48,1.0,lorentzian_like_2d,-69.20575259994834,4.494068293984502,1.6007856180005366,70.80653821794888,2
1.300,1.3,48,1.5,KR_like,-76.64515390911689,0.48474484926729394,13.574666794272115,97.00715410052504,2
1.300,1.3,48,1.5,lorentzian_like_2d,-68.40535979094807,4.808721240814632,1.6007856180005366,70.80653821794888,2
1.300,1.3,48,2.0,KR_like,-69.8578205119808,0.6098599847512608,13.574666794272115,97.00715410052504,2
1.300,1.3,48,2.0,lorentzian_like_2d,-67.6049669819478,5.123374187644757,1.6007856180005366,70.80653821794888,2
1.400,1.4,48,0.0,KR_like,-97.00715410052504,0.10939944281541335,13.945450644662689,97.00715410052504,2
1.400,1.4,48,0.0,lorentzian_like_2d,-70.80653821794888,3.8647624003242482,1.682077847799135,70.80653821794888,2
1.400,1.4,48,0.1,KR_like,-95.61260903605879,0.13633733393423875,13.945450644662689,97.00715410052504,2
1.400,1.4,48,0.1,lorentzian_like_2d,-70.63833043316896,3.9274647968041276,1.682077847799135,70.80653821794888,2
1.400,1.4,48,0.2,KR_like,-94.21806397159251,0.16327522505306916,13.945450644662689,97.00715410052504,2
1.400,1.4,48,0.2,lorentzian_like_2d,-70.47012264838905,3.990167193284013,1.682077847799135,70.80653821794888,2
1.400,1.4,48,0.4,KR_like,-91.42897384265997,0.21715100729074002,13.945450644662689,97.00715410052504,2
1.400,1.4,48,0.4,lorentzian_like_2d,-70.13370707882922,4.115571986243761,1.682077847799135,70.80653821794888,2
1.400,1.4,48,0.6,KR_like,-88.63988371372744,0.2710267895283958,13.945450644662689,97.00715410052504,2
1.400,1.4,48,0.6,lorentzian_like_2d,-69.7972915092694,4.240976779203517,1.682077847799135,70.80653821794888,2
1.400,1.4,48,0.8,KR_like,-85.8507935847949,0.3249025717660617,13.945450644662689,97.00715410052504,2
1.400,1.4,48,0.8,lorentzian_like_2d,-69.46087593970957,4.366381572163281,1.682077847799135,70.80653821794888,2
1.400,1.4,48,1.0,KR_like,-83.06170345586236,0.37877835400373255,13.945450644662689,97.00715410052504,2
1.400,1.4,48,1.0,lorentzian_like_2d,-69.12446037014973,4.491786365123045,1.682077847799135,70.80653821794888,2
1.400,1.4,48,1.5,KR_like,-76.08897813353101,0.5134678095978896,13.945450644662689,97.00715410052504,2
