n,family,sample_id,log_H_exact,log_H_sis_mean,log_H_sis_std,abs_error,signed_error
8,absolute_layered,0,3.1780538303479458,3.1780538303479458,0.0,0.0,0.0
8,absolute_layered,1,3.871201010907891,3.8712010109078907,0.0,4.440892098500626e-16,-4.440892098500626e-16
8,absolute_layered,2,3.871201010907891,3.871201010907891,0.0,0.0,0.0
8,KR_like,0,5.793013608384144,5.8467999814911265,0.8822919181363237,0.05378637310698231,0.05378637310698231
8,KR_like,1,5.181783550292085,5.201255653704905,0.7319492923758338,0.01947210341282002,0.01947210341282002
8,KR_like,2,5.991464547107982,5.966146739123692,0.7636529633403547,0.02531780798428951,-0.02531780798428951
8,lorentzian_like_2d,0,7.832014180505469,7.968665700466236,0.8444352475789804,0.13665151996076652,0.13665151996076652
8,lorentzian_like_2d,1,5.159055299214529,5.030437921392435,0.5132696969612093,0.12861737782209381,-0.12861737782209381
8,lorentzian_like_2d,2,5.950642552587727,5.969985515430858,0.7001657295170886,0.019342962843131417,0.019342962843131417
8,lorentzian_like_3d,0,9.50599061407714,9.324115386235027,1.1795145494593193,0.18187522784211296,-0.18187522784211296
8,lorentzian_like_3d,1,5.966146739123692,5.8650506222523235,0.4483442164034413,0.10109611687136866,-0.10109611687136866
8,lorentzian_like_3d,2,6.733401891837359,6.645740953278934,0.6120619610552652,0.08766093855842527,-0.08766093855842527
8,transitive_percolation,0,9.911455722185305,9.750773340494831,0.6232520900269334,0.16068238169047433,-0.16068238169047433
8,transitive_percolation,1,7.426549072397305,7.694392802629421,1.4114037116750784,0.2678437302321166,0.2678437302321166
8,transitive_percolation,2,10.60460290274525,10.604602902745249,0.0,1.7763568394002505e-15,-1.7763568394002505e-15
10,absolute_layered,0,8.525161361065415,8.525161361065415,0.0,0.0,0.0
10,absolute_layered,1,4.969813299576001,4.969813299576001,0.0,0.0,0.0
10,absolute_layered,2,7.272398392570047,7.272398392570047,0.0,0.0,0.0
10,KR_like,0,10.511893504640982,10.356217853111406,1.1225901842460555,0.15567565152957563,-0.15567565152957563
10,KR_like,1,9.71534911042061,9.745429247877853,1.0985595756688935,0.030080137457243694,0.030080137457243694
10,KR_like,2,9.562404703357231,9.613603056529147,1.2747124910062468,0.05119835317191601,0.05119835317191601
10,lorentzian_like_2d,0,6.35088571671474,6.700423559184015,1.2872699393118991,0.34953784246927544,0.34953784246927544
10,lorentzian_like_2d,1,7.408530566894626,7.3511582264306945,1.5527235741293317,0.05737234046393169,-0.05737234046393169
10,lorentzian_like_2d,2,5.739792912179234,6.1590953884919335,1.1328410136625493,0.41930247631269957,0.41930247631269957
10,lorentzian_like_3d,0,9.118005760773388,9.03884005381381,0.6862966459392733,0.07916570695957681,-0.07916570695957681
10,lorentzian_like_3d,1,11.61620381442373,11.416524690683874,1.4025255112015904,0.1996791237398572,-0.1996791237398572
10,lorentzian_like_3d,2,10.173209299610916,10.15545176965853,1.1335493974918953,0.017757529952385553,-0.017757529952385553
10,transitive_percolation,0,10.722385938401633,11.056824740893482,1.724107549391917,0.33443880249184943,0.33443880249184943
10,transitive_percolation,1,10.31692083029347,10.521035264599076,1.3618961104493466,0.20411443430560716,0.20411443430560716
10,transitive_percolation,2,14.41126539251557,14.248746463017794,0.6879323030277031,0.1625189294977769,-0.1625189294977769
12,absolute_layered,0,9.574983485564092,9.574983485564092,0.0,0.0,0.0
12,absolute_layered,1,9.757305042358047,9.757305042358047,0.0,0.0,0.0
12,absolute_layered,2,8.371010681238156,8.371010681238156,0.0,0.0,0.0
12,KR_like,0,11.689446900199377,11.910701084594011,0.9493171120427074,0.22125418439463473,0.22125418439463473
12,KR_like,1,12.169590179952758,12.224433056862106,1.4137495003928573,0.05484287690934764,0.05484287690934764
12,KR_like,2,12.266264232424048,12.004751738726435,1.2510323905207643,0.2615124936976123,-0.2615124936976123
12,lorentzian_like_2d,0,10.30948585180595,10.317515891304781,1.1245012322452417,0.008030039498830632,0.008030039498830632
12,lorentzian_like_2d,1,11.549527367414777,11.645794138044653,1.387263930342602,0.09626677062987632,0.09626677062987632
12,lorentzian_like_2d,2,10.296610137445906,9.898876939978445,1.1713974221244319,0.3977331974674616,-0.3977331974674616
12,lorentzian_like_3d,0,14.181153171885267,13.851215482585049,0.9839337425830824,0.32993768930021794,-0.32993768930021794
12,lorentzian_like_3d,1,13.442131153877886,13.172980443200855,1.2680517370121756,0.26915071067703167,-0.26915071067703167
12,lorentzian_like_3d,2,13.40964536983477,13.349524447670975,1.4788548205608714,0.0601209221637955,-0.0601209221637955
12,transitive_percolation,0,17.502307845873887,17.36454674139599,1.2870679839557215,0.1377611044778959,-0.1377611044778959
12,transitive_percolation,1,18.888602206993777,19.07588303714708,1.205821646781301,0.187280830153302,0.187280830153302
12,transitive_percolation,2,17.502307845873887,17.674397308638305,0.9225500526084994,0.1720894627644185,0.1720894627644185
