n,family,mean_abs_error,max_abs_error,mean_signed_error,mean_sis_std,count
8,absolute_layered,1.4802973661668753e-16,4.440892098500626e-16,-1.4802973661668753e-16,0.0,3
8,KR_like,0.032858761501363944,0.05378637310698231,0.01598022284517094,0.7926313912841708,3
8,lorentzian_like_2d,0.09487062020866392,0.13665151996076652,0.009125701660601374,0.6859568913524261,3
8,lorentzian_like_3d,0.12354409442396896,0.18187522784211296,-0.12354409442396896,0.7466402423060087,3
8,transitive_percolation,0.1428420373075309,0.2678437302321166,0.03572044951388017,0.6782186005673373,3
10,absolute_layered,0.0,0.0,0.0,0.0,3
10,KR_like,0.07898471405291178,0.15567565152957563,-0.024799053633471974,1.165287416973732,3
10,lorentzian_like_3d,0.09886745355060651,0.1996791237398572,-0.09886745355060651,1.074123851544253,3
10,transitive_percolation,0.23369072209841116,0.33443880249184943,0.12534476909989323,1.2579786542896556,3
10,lorentzian_like_2d,0.27540421974863555,0.41930247631269957,0.2371559927726811,1.32427817570126,3
12,absolute_layered,0.0,0.0,0.0,0.0,3
12,transitive_percolation,0.1657104657985388,0.187280830153302,0.07386972947994153,1.1384798944485073,3
12,lorentzian_like_2d,0.16734333586538952,0.3977331974674616,-0.09781212911291821,1.2277208615707584,3
12,KR_like,0.17920318500053156,0.2615124936976123,0.004861522535456686,1.2046996676521096,3
12,lorentzian_like_3d,0.2197364407136817,0.32993768930021794,-0.2197364407136817,1.2436134333853766,3
