seed_label,n,c_threshold_est,threshold_status,scale_factor_min,scale_factor_max
offset_0,44,,no_cross_anywhere,1.38,1.44
offset_0,48,1.69,crossing_recovered,1.66,1.72
offset_0,52,1.754,crossing_recovered,1.748,1.76
offset_100000,44,,no_cross_anywhere,1.38,1.44
offset_100000,48,1.7,crossing_recovered,1.66,1.72
offset_100000,52,,no_cross_anywhere,1.748,1.76
offset_50000,44,1.38,crossing_recovered,1.38,1.44
offset_50000,48,1.66,crossing_recovered,1.66,1.72
offset_50000,52,,no_cross_anywhere,1.748,1.76
